,МАРКА,t вып-обр,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),N2 (интенс.),эл. энергия (интенс.),произв жидкая сталь,расход газ Ar,расход газ  N2,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл  ферванит,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
1517,Другие,31.0,15.55,42.8833333,3.0,0.41416000000000003,0.12108599999999999,0.263306,0.148817,0.0397641,1578.0,1596.0,11.646721099999999,12.753919450000001,12563.3440514,112.5,16.230999999999998,9.586500000000001,0.136,0.05,0.45799999999999996,0.039,0.02,0.050347,0.115,0.025174000000000002,3256.0,0.001,0.42700000000000005,0.057,0.627,0.006,0.009000000000000001,0.067,0.008,0.02,0.171,0.001,0.003,0.002,0.7759999999999999,0.0002,0.059000000000000004,0.10800000000000001,0.8640000000000001,0.005,0.011000000000000001,0.067,0.009000000000000001,0.017,0.305,0.002,0.037000000000000005,3.5,54.5,1.0,11.9,0.74,2.2,24.8,3.9,55.2,0.9,11.0,0.27,2.1,26.0
1518,Другие,29.0,18.966666699999998,44.6833333,3.7530593999999997,0.52756,0.12108599999999999,0.262167,0.10453,0.0405926,1546.0,1588.0,11.306229,12.753919450000001,13514.2355009,112.2,16.84,9.586500000000001,0.13699999999999998,0.05,0.598,0.036000000000000004,0.02,0.051396000000000004,0.048,0.025174000000000002,4272.0,0.001,0.33399999999999996,0.062,0.632,0.009000000000000001,0.008,0.081,0.006999999999999999,0.021,0.212,0.001,0.002,0.002,0.7609999999999999,0.0001,0.063,0.109,0.857,0.008,0.011000000000000001,0.08,0.008,0.018000000000000002,0.307,0.002,0.036000000000000004,3.2,52.7,1.2,13.1,0.77,2.2,24.3,4.0,61.1,0.4,7.8,0.11,2.4,25.4
1519,Другие,24.0,22.8666667,48.3666667,3.0,0.51879,0.12108599999999999,0.266776,0.11106400000000001,0.042021300000000004,1577.0,1578.0,10.3856891,12.753919450000001,12153.9358601,115.2,16.369,9.586500000000001,0.107,0.05,0.5870000000000001,0.046,0.02,0.053204999999999995,0.055999999999999994,0.025174000000000002,4632.0,0.002,0.36700000000000005,0.055999999999999994,0.638,0.006,0.008,0.076,0.006999999999999999,0.02,0.212,0.001,0.002,0.002,0.7659999999999999,0.0001,0.057,0.11199999999999999,0.858,0.005,0.012,0.076,0.008,0.016,0.302,0.002,0.037000000000000005,3.6,55.3,1.1,13.3,0.36,2.4,22.8,3.6,52.4,1.0,8.4,0.2,2.0,26.5
1520,Другие,19.0,9.8,46.0,3.0,0.51666,0.12108599999999999,0.277381,0.153394,0.0408091,1601.0,1588.0,9.2227949,12.753919450000001,11908.1632653,113.9,14.116,9.586500000000001,0.138,0.05,0.584,0.038,0.02,0.051649,0.11599999999999999,0.025174000000000002,1945.0,0.001,0.354,0.063,0.622,0.006,0.01,0.08,0.008,0.019,0.175,0.001,0.002,0.002,0.763,0.0003,0.064,0.114,0.86,0.005,0.012,0.079,0.009000000000000001,0.016,0.306,0.002,0.037000000000000005,3.5,55.9,1.7,12.9,0.64,2.2,25.1,4.0,57.5,0.5,9.9,0.15,2.2,25.9
1557,Другие,62.0,20.8166667,47.8666667,2.605253,0.44659,0.12108599999999999,0.1891,0.097295,0.042335199999999996,1556.0,1604.0,9.394680099999999,12.753919450000001,12076.8614892,115.4,14.52,9.586500000000001,0.064,0.05,0.501,0.037000000000000005,0.02,0.053204999999999995,0.073,0.025174000000000002,4190.0,0.001,0.384,0.067,0.6709999999999999,0.006999999999999999,0.011000000000000001,0.057999999999999996,0.008,0.019,0.218,0.001,0.001,0.002,0.725,0.0001,0.068,0.096,0.831,0.006,0.013999999999999999,0.057,0.009000000000000001,0.013999999999999999,0.294,0.002,0.036000000000000004,5.4,51.3,0.7,13.9,0.33,2.1,24.7,4.8,56.9,0.7,10.1,0.14,2.2,26.2
1558,Другие,39.0,19.6833333,47.8833333,2.6359803,0.50741,0.12108599999999999,0.165045,0.08826,0.042795099999999996,1571.0,1600.0,8.7011486,12.753919450000001,12104.6570703,116.4,13.888,9.586500000000001,0.064,0.05,0.5770000000000001,0.037000000000000005,0.02,0.053783000000000004,0.069,0.025174000000000002,3971.0,0.001,0.37200000000000005,0.076,0.688,0.005,0.01,0.057999999999999996,0.008,0.02,0.209,0.001,0.001,0.002,0.723,0.0001,0.069,0.095,0.826,0.006,0.008,0.057,0.009000000000000001,0.011000000000000001,0.284,0.001,0.036000000000000004,4.6,49.2,1.3,13.0,0.47,2.0,24.3,5.2,52.6,0.7,7.4,0.09,2.3,23.0
1559,Другие,39.0,19.65,49.216666700000005,3.1241611000000002,0.46385,0.12108599999999999,0.11793900000000002,0.06414,0.0405791,1556.0,1596.0,9.2102946,12.753919450000001,12653.4351145,111.9,15.11,9.586500000000001,0.052000000000000005,0.05,0.525,0.037000000000000005,0.02,0.050998,0.051,0.025174000000000002,4144.0,0.001,0.37,0.071,0.728,0.005,0.011000000000000001,0.063,0.009000000000000001,0.018000000000000002,0.24100000000000002,0.001,0.001,0.002,0.728,0.0003,0.07200000000000001,0.086,0.828,0.004,0.013000000000000001,0.062,0.01,0.019,0.294,0.002,0.037000000000000005,4.8,58.7,0.7,10.3,0.18,2.5,23.4,4.6,56.9,0.9,8.8,0.22,2.6,22.0
1560,Другие,38.0,19.4833333,55.1833333,2.7123468999999996,0.4553,0.12108599999999999,0.129904,0.07433,0.0413852,1573.0,1593.0,6.821373599999999,12.753919450000001,12265.8682635,113.9,12.305,9.586500000000001,0.051,0.05,0.514,0.038,0.02,0.052011,0.062,0.025174000000000002,3983.0,0.002,0.379,0.077,0.723,0.005,0.01,0.062,0.009000000000000001,0.02,0.233,0.001,0.001,0.002,0.718,0.0001,0.079,0.09300000000000001,0.835,0.005,0.012,0.062,0.01,0.016,0.299,0.002,0.036000000000000004,4.0,50.9,2.3,13.7,0.43,2.2,22.9,4.7,53.3,0.5,8.0,0.12,2.4,22.6
1662,Э76ХФ,7.0,23.1666667,47.0166667,2.7765177000000003,0.42198,0.11668800000000001,0.11836700000000001,0.13,0.0388069,1604.0,1635.0,14.371774800000003,12.753919450000001,12519.7122302,111.7,22.404,9.586500000000001,0.122,0.05,0.452,0.038,0.02,0.048539,0.155,0.025174000000000002,4834.0,0.002,0.418,0.319,0.6920000000000001,0.006,0.01,0.063,0.011000000000000001,0.017,0.457,0.001,0.002,0.004,0.753,0.0004,0.418,0.091,0.799,0.005,0.012,0.062,0.011000000000000001,0.011000000000000001,0.5720000000000001,0.003,0.036000000000000004,5.2,56.2,0.7,11.7,0.14,2.7,20.6,4.5,55.8,0.4,9.4,0.1,2.0,27.4
1663,Э76ХФ,12.0,32.1666667,49.3833333,3.62601,0.404285,0.11611600000000001,0.15095799999999998,0.129965,0.0384599,1536.0,1613.0,6.9769048,12.753919450000001,12780.9326425,113.7,11.446,9.586500000000001,0.08199999999999999,0.05,0.429,0.048,0.02,0.048105,0.141,0.025174000000000002,6852.0,0.002,0.452,0.318,0.6659999999999999,0.006999999999999999,0.011000000000000001,0.073,0.009000000000000001,0.019,0.451,0.002,0.002,0.004,0.772,0.0003,0.419,0.113,0.799,0.006999999999999999,0.011000000000000001,0.07200000000000001,0.01,0.013999999999999999,0.563,0.003,0.035,5.0,53.8,1.4,10.1,0.2,2.3,23.1,4.8,55.0,0.6,7.6,0.14,2.0,27.2
1665,Э76ХФ,23.0,29.383333299999997,42.033333299999995,2.0,0.30571,0.082368,0.058185,0.085275,0.0376213,1529.0,1595.0,13.0232355,12.753919450000001,12482.5865003,112.5,18.247,9.586500000000001,0.054000000000000006,0.05,0.317,0.06,0.02,0.047056,0.11,0.025174000000000002,6113.0,0.002,0.521,0.348,0.7340000000000001,0.009000000000000001,0.009000000000000001,0.071,0.012,0.017,0.484,0.002,0.003,0.003,0.773,0.0002,0.418,0.092,0.784,0.008,0.011000000000000001,0.071,0.013000000000000001,0.013000000000000001,0.5660000000000001,0.003,0.036000000000000004,3.9,55.6,0.5,7.3,0.16,3.2,17.6,4.5,59.1,0.2,4.5,0.1,2.2,26.9
1666,Э76ХФ,21.0,25.716666699999998,43.8666667,2.0,0.15538,0.077792,0.06343700000000001,0.060145000000000004,0.0367538,1530.0,1595.0,11.611422,12.753919450000001,12421.516526200001,109.7,16.942999999999998,9.586500000000001,0.042,0.05,0.132,0.085,0.02,0.045971,0.068,0.025174000000000002,5324.0,0.004,0.639,0.35,0.73,0.008,0.009000000000000001,0.069,0.013000000000000001,0.017,0.508,0.003,0.004,0.004,0.7559999999999999,0.0003,0.42200000000000004,0.102,0.79,0.006999999999999999,0.01,0.069,0.013999999999999999,0.012,0.564,0.003,0.037000000000000005,4.3,64.6,0.3,8.7,0.13,2.9,22.3,4.9,61.3,0.3,5.7,0.13,2.3,26.3
1667,Э76ХФ,20.0,25.65,49.7333333,2.8791045,0.34951,0.0858,0.12235399999999999,0.10515999999999999,0.0385175,1544.0,1591.0,10.442292199999999,12.753919450000001,12879.532163700002,114.6,17.311,9.586500000000001,0.06,0.05,0.368,0.07200000000000001,0.02,0.048177,0.114,0.025174000000000002,5506.0,0.003,0.469,0.34600000000000003,0.679,0.008,0.012,0.071,0.012,0.018000000000000002,0.469,0.003,0.003,0.003,0.7809999999999999,0.0004,0.419,0.10800000000000001,0.787,0.006999999999999999,0.012,0.07200000000000001,0.013999999999999999,0.015,0.563,0.003,0.036000000000000004,4.9,63.0,0.7,10.4,0.16,2.8,22.8,4.6,56.6,0.2,7.8,0.12,2.1,27.0
1726,Другие,54.0,18.3,46.6833333,2.5777502,0.40287,0.12108599999999999,0.241169,0.130103,0.040339599999999996,1549.0,1589.0,11.1625,12.753919450000001,12298.3606557,111.4,16.967,9.586500000000001,0.106,0.05,0.445,0.038,0.02,0.050456,0.10300000000000001,0.025174000000000002,3751.0,0.001,0.414,0.061,0.612,0.008,0.008,0.073,0.008,0.026000000000000002,0.171,0.001,0.002,0.002,0.733,0.0002,0.062,0.102,0.825,0.006,0.012,0.073,0.008,0.016,0.28800000000000003,0.001,0.037000000000000005,3.3,49.7,0.7,13.1,0.64,1.9,26.2,3.5,52.2,0.7,11.3,0.17,2.1,25.3
1730,Другие,31.0,19.5166667,40.033333299999995,3.2718106,0.16526,0.12108599999999999,0.060369000000000006,0.044716000000000006,0.0409176,1542.0,1593.0,6.8605329,12.753919450000001,12816.7378309,112.3,9.155,9.586500000000001,0.126,0.05,0.125,0.105,0.02,0.051179,0.045,0.025174000000000002,4169.0,0.002,0.598,0.10800000000000001,0.773,0.008,0.006999999999999999,0.068,0.013000000000000001,0.021,0.257,0.002,0.002,0.002,0.718,0.0002,0.109,0.10099999999999999,0.8220000000000001,0.006999999999999999,0.008,0.068,0.013000000000000001,0.016,0.293,0.002,0.038,3.7,62.7,0.6,9.0,0.21,2.9,21.7,4.2,61.1,1.0,3.5,0.16,2.7,22.6
1771,Э76ХФ,35.0,20.216666699999998,47.8666667,3.4925752999999995,0.350455,0.160403,0.038939,0.076329,0.0370848,1559.0,1584.0,8.957415300000001,12.753919450000001,13322.6710635,109.2,14.093,9.586500000000001,0.052000000000000005,0.05,0.359,0.081,0.02,0.046513,0.10300000000000001,0.025174000000000002,4489.0,0.002,0.46,0.327,0.748,0.008,0.01,0.068,0.011000000000000001,0.023,0.48100000000000004,0.001,0.002,0.003,0.772,0.0002,0.467,0.09300000000000001,0.7859999999999999,0.006999999999999999,0.012,0.068,0.011000000000000001,0.017,0.561,0.002,0.036000000000000004,3.6,58.1,0.4,8.6,0.13,2.6,22.1,3.8,62.3,0.5,4.7,0.08,2.7,23.3
1782,Э76ХФ,32.0,15.15,48.3166667,3.9239744,0.31468,0.09136799999999999,0.140665,0.110133,0.038930599999999996,1570.0,1588.0,12.727725900000001,12.753919450000001,16241.584158399999,113.4,20.428,9.586500000000001,0.126,0.05,0.32299999999999995,0.057,0.02,0.048827999999999996,0.113,0.025174000000000002,4101.0,0.002,0.49200000000000005,0.344,0.675,0.006999999999999999,0.012,0.08,0.013000000000000001,0.02,0.462,0.001,0.003,0.005,0.7659999999999999,0.0003,0.41600000000000004,0.09300000000000001,0.7829999999999999,0.006,0.012,0.079,0.013999999999999999,0.013000000000000001,0.564,0.003,0.037000000000000005,2.6,56.3,0.2,8.5,0.08,3.0,18.7,3.9,50.5,0.4,4.7,0.08,2.6,19.5
1783,Э76ХФ,36.0,23.3166667,43.3666667,3.7142857000000005,0.31790999999999997,0.121824,0.14793800000000001,0.088443,0.0370848,1539.0,1587.0,11.415680199999999,12.753919450000001,13427.305218000001,108.8,16.502,9.586500000000001,0.126,0.05,0.321,0.08800000000000001,0.02,0.046513,0.076,0.025174000000000002,5218.0,0.002,0.47600000000000003,0.312,0.662,0.005,0.011000000000000001,0.063,0.011000000000000001,0.022000000000000002,0.483,0.002,0.003,0.003,0.763,0.0003,0.42,0.102,0.794,0.005,0.012,0.063,0.013000000000000001,0.018000000000000002,0.5760000000000001,0.003,0.037000000000000005,3.8,48.6,1.3,7.7,0.3,2.5,19.5,3.4,59.9,0.3,8.3,0.15,2.3,26.3
1784,Э76ХФ,35.0,18.35,43.85,3.28684,0.35608,0.099264,0.210519,0.154524,0.03864190000000001,1577.0,1597.0,9.794982899999999,12.753919450000001,13477.9291553,114.1,14.317,9.586500000000001,0.126,0.05,0.37,0.075,0.02,0.048466,0.153,0.025174000000000002,4122.0,0.001,0.465,0.335,0.614,0.009000000000000001,0.011000000000000001,0.08,0.01,0.021,0.435,0.001,0.003,0.003,0.768,0.0003,0.419,0.1,0.7929999999999999,0.008,0.013000000000000001,0.08,0.011000000000000001,0.015,0.573,0.003,0.037000000000000005,4.0,50.9,0.4,8.1,0.13,2.5,20.2,4.9,56.1,0.5,9.6,0.13,2.2,25.5
1785,Э76ХФ,33.0,20.65,42.216666700000005,2.8543165,0.30104000000000003,0.128592,0.121952,0.131297,0.0381786,1546.0,1581.0,19.100039499999998,12.753919450000001,14045.5205811,115.4,26.878,9.586500000000001,0.126,0.05,0.3,0.10099999999999999,0.02,0.047924,0.154,0.025174000000000002,4834.0,0.002,0.498,0.311,0.696,0.008,0.012,0.075,0.013000000000000001,0.02,0.45299999999999996,0.002,0.004,0.003,0.755,0.0004,0.419,0.105,0.7929999999999999,0.006999999999999999,0.012,0.076,0.013999999999999999,0.015,0.5660000000000001,0.003,0.037000000000000005,3.5,59.5,0.3,8.6,0.19,2.3,25.4,4.3,61.5,0.9,3.8,0.11,2.4,25.2
1799,Э90ХАФ,39.0,22.5166667,50.033333299999995,2.6373502999999996,0.498855,0.049068,0.133992,0.072604,0.0894414,1582.0,1587.0,7.343694800000001,6.0631579,13531.310140600002,109.1000001,11.55,0.28800000000000003,0.052000000000000005,0.113,0.504,0.1400001,0.020000099999999996,0.098235,0.0600001,0.025174000000000002,5078.0,0.002,0.43799999999999994,0.244,0.672,0.008,0.01,0.076,0.009000000000000001,0.024,0.47100000000000003,0.002,0.002,0.003,0.8440000000000001,0.0002,0.289,0.10400000000000001,0.792,0.006,0.013999999999999999,0.075,0.011000000000000001,0.018000000000000002,0.552,0.003,0.084,4.0,62.1,0.3,7.0,0.17,2.6,23.8,3.6,62.1,0.3,7.1,0.17,2.7,23.0
1800,Другие,13.0,20.5,4.35,3.0,0.390729,0.12108599999999999,0.136915,0.127746,0.0398247,1567.0,1583.0,7.9448276,12.753919450000001,12989.6678967,112.1,0.5760000000000001,9.586500000000001,0.126,0.05,0.40700000000000003,0.046,0.02,0.050166,0.14,0.025174000000000002,4412.0,0.001,0.46299999999999997,0.225,0.59,0.03,0.009000000000000001,0.075,0.011000000000000001,0.023,0.368,0.001,0.002,0.003,0.8370000000000001,0.0009,0.282,0.096,0.785,0.027999999999999997,0.016,0.07400000000000001,0.012,0.017,0.5479999999999999,0.002,0.084,3.5,49.4,1.2,23.2,0.59,1.9,25.5,5.9,58.3,0.5,10.2,0.15,2.4,24.4
1801,Э90ХАФ,6.0,15.35,48.3833333,2.0,0.41936999999999997,0.100392,0.25958000000000003,0.141782,0.0923408,1616.0,1583.0,11.297547199999999,12.016322099999998,12582.4104235,112.5,6.653,12.27,0.10400000000000001,0.05,0.446,0.07400000000000001,0.02,0.102214,0.11800000000000001,0.025174000000000002,3219.0,0.001,0.5329999999999999,0.201,0.568,0.015,0.01,0.08199999999999999,0.006999999999999999,0.022000000000000002,0.41100000000000003,0.001,0.001,0.003,0.845,0.0002,0.28800000000000003,0.096,0.795,0.013000000000000001,0.017,0.08199999999999999,0.008,0.017,0.547,0.002,0.085,3.1,56.1,0.4,15.6,0.1,2.1,26.6,3.6,50.3,0.3,10.0,0.11,2.2,23.4
1802,Другие,9.0,16.15,42.1833333,2.0719901000000003,0.472325,0.046812,0.21407199999999998,0.075152,0.0898846,1590.0,1578.0,17.670803399999997,17.9108641,12802.4767802,109.8,15.03,9.846,0.04,0.05,0.523,0.08199999999999999,0.02,0.098597,0.032,0.025174000000000002,3446.0,0.001,0.42700000000000005,0.248,0.59,0.064,0.01,0.084,0.008,0.022000000000000002,0.455,0.001,0.002,0.003,0.871,0.0005,0.28800000000000003,0.09699999999999999,0.78,0.061,0.013999999999999999,0.084,0.009000000000000001,0.017,0.545,0.003,0.084,3.4,54.8,0.9,11.9,0.14,2.4,22.5,4.1,58.8,0.3,7.4,0.06,2.2,26.5
1803,Другие,6.0,17.0166667,43.5166667,1.5234676999999999,0.506075,0.088548,0.21452,0.141784,0.0920558,1609.0,1582.0,12.2155662,10.748201400000001,12510.088148899998,113.5,9.199,7.47,0.04,0.05,0.557,0.047,0.02,0.101888,0.136,0.025174000000000002,3548.0,0.001,0.47700000000000004,0.21899999999999997,0.611,0.023,0.009000000000000001,0.073,0.011000000000000001,0.019,0.413,0.001,0.002,0.002,0.851,0.0002,0.293,0.091,0.7879999999999999,0.02,0.013000000000000001,0.07200000000000001,0.012,0.016,0.53,0.002,0.08199999999999999,3.7,48.3,0.4,11.4,0.12,2.0,24.5,3.8,57.5,0.4,7.2,0.07,2.2,26.6
