,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),N2 (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,произв  количество плавок,произв количество плавок (цел),расход газ Ar,расход газ  N2,расход C пров.,сыпуч известь РП,сыпуч кварцит,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь (сух.),сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2
87,3.0320987999999995,0.3642,0.12476400000000001,0.21105700000000002,0.148715,0.0415366,1558.0,1602.0,8.489166099999998,,13885.9945504,115.1,1.0,1.0,1.0,17.391,,,0.102,,0.05,,0.375,0.031,0.02
88,2.8913043,0.295725,0.128698,0.204014,0.14418599999999998,0.041051800000000006,1568.0,1630.0,6.0336534,,14190.9952607,116.3,1.0,1.0,1.0,35.26,,,0.142,,0.05,,0.29,0.059000000000000004,0.02
89,3.2287941000000004,0.31345,0.113524,0.170498,0.11555599999999999,0.040054,1540.0,1610.0,9.0640569,,13640.7669021,111.6,1.0,1.0,1.0,21.225,,,0.141,,0.05,,0.316,0.06,0.02
90,2.5574572,0.422725,0.111838,0.177815,0.16986199999999999,0.0407109,1586.0,1606.0,19.220892300000003,,13348.7677371,115.5,1.0,1.0,1.0,29.44,,,0.094,,0.05,,0.451,0.059000000000000004,0.02
91,,,,,,,,,,,,,,,,,,,,,,,,,
92,2.7623147,0.48357,0.12251600000000001,0.200449,0.13029100000000002,0.0414892,1561.0,1586.0,8.851813499999999,,13435.5207706,115.5,1.0,1.0,1.0,17.084,,,,,0.055999999999999994,,0.518,0.132,0.02
93,2.6237112999999996,0.4335,0.113524,0.189868,0.133175,0.041002699999999996,1595.0,1587.0,9.632774099999999,,13245.5544456,115.0,1.0,1.0,1.0,13.716,,,,,0.157,,0.371,0.094,0.02
94,2.6927711,0.459085,0.12420199999999999,0.218667,0.192129,0.0404023,1602.0,1590.0,13.9134364,,12951.0240427,112.3,1.0,1.0,1.0,19.502,,,0.19,,0.05,,0.49200000000000005,0.059000000000000004,0.02
95,2.8292254,0.45414499999999997,0.088234,0.182319,0.153034,0.040831,1582.0,1596.0,15.848709699999999,,13029.5623452,115.8,1.0,1.0,1.0,21.836,,,,,0.05,,0.494,0.059000000000000004,0.02
96,2.6856218,0.358415,0.06687799999999999,0.07337250000000001,0.087436,0.0395439,1570.0,1595.0,11.5726619,,13278.9873418,110.8,1.0,1.0,1.0,16.086,,,0.105,,0.05,,0.384,0.059000000000000004,0.02
97,2.5764547,0.41383500000000006,0.08148999999999999,0.142817,0.14155,0.041403800000000004,1567.0,1586.0,10.8065862,,13191.1829537,115.6,1.0,1.0,1.0,16.408,,,0.094,,0.05,,0.447,0.059000000000000004,0.02
98,2.7869159,0.37961500000000004,0.12307799999999999,0.1957475,0.173625,0.0418611,1577.0,1595.0,11.7831153,,13695.9863365,114.9,1.0,1.0,1.0,16.516000000000002,,,0.237,,0.507,,,0.049,0.02
99,2.7123288,0.515295,0.15055,0.2530415,0.2321,0.0417179,1580.0,1581.0,17.0238772,,13873.569482299998,113.9,1.0,1.0,1.0,25.271,,,0.191,,0.05,,0.555,0.026000000000000002,0.02
100,2.9575472,0.464805,0.144522,0.2192265,0.1827,0.041289099999999995,1599.0,1590.0,19.2883065,,13971.020019100002,116.0,1.0,1.0,1.0,26.575,,,0.20199999999999999,,0.05,,0.495,0.034,0.02
101,2.519573,0.4381,0.103788,0.1343175,0.15535,0.038256,1601.0,1591.0,10.7169749,,13398.1900452,111.4,1.0,1.0,1.0,14.328,,,0.047,,0.05,,0.473,0.024,0.02
102,2.6617647,0.496515,0.128898,0.1946745,0.125525,0.040945800000000004,1606.0,1590.0,10.4514925,,13510.440835299998,115.3,1.0,1.0,1.0,14.005,,,0.057999999999999996,,0.05,,0.5379999999999999,0.027000000000000003,0.02
103,2.0,0.441975,0.060822,0.156255,0.113015,0.040945800000000004,1565.0,1598.0,17.952631600000004,,13835.0157729,115.1,1.0,1.0,1.0,24.256,,,0.057999999999999996,,0.05,,0.485,0.049,0.02
104,3.0,0.5044850000000001,0.109926,0.18173399999999998,0.14723699999999998,0.0404023,1613.0,1597.0,19.239239,,13859.174311899998,113.9,1.0,1.0,1.0,26.967,,,0.175,,0.05,,0.552,0.055999999999999994,0.02
105,2.8357487999999997,0.51542,0.151776,0.22398049999999997,0.162169,0.040974199999999995,1587.0,1595.0,11.1148046,,14145.2123231,115.5,1.0,1.0,1.0,15.640999999999998,,,0.18899999999999997,,0.05,,0.556,,0.02
106,2.852194,0.44914,0.11494800000000001,0.17364649999999998,0.09784,0.03994419999999999,1566.0,1597.0,9.2685714,,13758.051846,111.6,1.0,1.0,1.0,12.975999999999999,,,0.047,,0.05,,0.483,0.035,0.02
107,3.0,0.44928999999999997,0.103788,0.186498,0.133053,0.0407741,1534.0,1599.0,8.3480218,,14018.1508792,115.3,1.0,1.0,1.0,13.597999999999999,,,0.057999999999999996,,0.611,,,0.046,0.02
108,3.0,0.33210500000000004,0.079794,0.073425,0.074601,0.0394292,1557.0,1599.0,15.3083434,,13849.887640399998,115.4,1.0,1.0,1.0,21.1,,,,,0.05,,0.349,0.094,0.02
109,2.6612902999999997,0.43086,,0.165501,0.045843,0.0411459,1592.0,1640.0,12.487013000000001,,14182.1974965,113.6,1.0,1.0,1.0,19.23,,,,,0.541,,0.057999999999999996,0.083,0.02
110,3.5758754999999995,0.50278,,0.251766,0.069738,0.0422247,1560.0,1618.0,8.508,,13797.916666699999,114.9,1.0,1.0,1.0,14.889000000000001,,,,,0.7070000000000001,,,0.10800000000000001,0.02
111,3.6385947999999995,0.43833,,0.23182550000000002,0.086824,0.0399515,1623.0,1619.0,8.521225099999999,,13840.164778600001,109.8,1.0,1.0,1.0,13.215,,,,,0.05,,0.489,0.025,0.02
112,4.425793700000001,0.3769,,0.2101285,0.082106,0.0415344,1567.0,1611.0,10.5349535,,14553.9714868,114.5,1.0,1.0,1.0,16.375999999999998,,,0.057999999999999996,,0.05,,0.414,0.027999999999999997,0.02
113,3.3918152000000004,0.43212,,0.21467399999999998,0.086595,0.0405842,1577.0,1605.0,11.8292125,,13404.1288192,114.6,1.0,1.0,1.0,15.815,,,,,0.05,,0.48200000000000004,0.034,0.02
114,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,
116,2.4256145,0.36915,,0.247002,0.083922,0.0405269,1611.0,1598.0,10.7014867,,12890.4109589,111.2,1.0,1.0,1.0,13.796,,,0.057999999999999996,,0.05,,0.40299999999999997,0.085,0.02
117,3.3878702000000005,0.40695,,0.213047,0.099064,0.0414477,1585.0,1604.0,11.784212599999998,,13305.1239669,115.0,1.0,1.0,1.0,17.002,,,,,0.05,,0.451,0.028999999999999998,0.02
118,3.1716759999999997,0.44476000000000004,,0.15314049999999998,0.089576,0.042369199999999996,1606.0,1601.0,11.0092573,,13386.7660764,114.9,1.0,1.0,1.0,17.046,,,,,0.05,,0.5,0.055,0.02
119,3.4367381,0.33575,,0.21560300000000002,0.099772,0.041620300000000006,1546.0,1606.0,12.1170221,,13794.668489399999,113.4,1.0,1.0,1.0,17.361,,,,,0.05,,0.363,0.026000000000000002,0.02
120,3.0418687,0.42926000000000003,0.098208,0.112548,0.120321,0.0415344,1616.0,1627.0,12.9004552,,13591.7241379,113.2,1.0,1.0,1.0,18.892,,,0.14800000000000002,,0.05,,0.46399999999999997,0.033,0.02
121,3.7667044,0.38437,0.090396,0.1131445,0.090125,0.041361699999999994,1583.0,1606.0,10.5047022,,13729.8013245,112.3,1.0,1.0,1.0,16.755,,,0.079,,0.05,,0.41,0.035,0.02
122,3.5705911,0.44232,0.11606400000000001,0.2363245,0.17463199999999998,0.0430886,1581.0,1597.0,12.029326699999999,,14196.897038100002,114.3,1.0,1.0,1.0,20.099,,,0.324,,0.05,,0.47200000000000003,0.035,0.02
123,3.6282660000000004,0.49625,0.104904,0.1829115,0.11461800000000001,0.042973199999999996,1569.0,1600.0,5.5468833,,12821.5384615,116.7,1.0,1.0,1.0,8.157,,,,,0.17,,0.439,0.054999999999999986,0.02
124,2.6361242999999996,0.37877,0.109368,0.12705650000000002,0.115942,0.0421965,1558.0,1608.0,10.849659599999999,,13482.8193833,113.8,1.0,1.0,1.0,16.823,,,0.179,,0.05,,0.39899999999999997,0.102,0.02
125,2.6120967999999998,0.43007,0.095976,0.174503,0.107767,0.043491300000000004,1562.0,1595.0,14.5675514,,13228.7671233,117.5,1.0,1.0,1.0,21.649,,,0.052000000000000005,,0.05,,0.46299999999999997,0.059000000000000004,0.02
126,2.0,0.37562,0.097092,0.1369045,0.073451,0.041735699999999994,1557.0,1592.0,9.252572800000001,,13375.3634277,112.1,1.0,1.0,1.0,12.437000000000001,,,,,0.05,,0.397,0.049,0.02
127,2.0,0.39676,0.075888,0.113972,0.09875199999999999,0.0413904,1575.0,1575.0,9.4321831,,13559.201773800001,114.4,1.0,1.0,1.0,14.425999999999998,,,0.052000000000000005,,0.05,,0.428,0.069,0.02
128,3.0465444,0.42749,0.104904,0.1518625,0.08922200000000001,0.042081099999999996,1577.0,1587.0,6.9819614,,12924.7794707,113.5,1.0,1.0,1.0,10.343,,,,,0.05,,0.45899999999999996,0.047,0.02
129,2.4962575,0.42596000000000006,0.10602,0.1499155,0.11581400000000001,0.0430313,1573.0,1590.0,11.175576199999998,,12943.8848921,115.0,1.0,1.0,1.0,15.354000000000001,,,0.11699999999999999,,0.05,,0.457,0.038,0.02
130,2.5659341,0.430025,0.10880999999999999,0.162971,0.131704,0.0428873,1578.0,1598.0,10.2879633,,13212.0,115.8,1.0,1.0,1.0,13.722999999999999,,,,,0.05,,0.461,0.038,0.02
131,2.692381,0.44726499999999997,0.10880999999999999,0.196025,0.133108,0.042973199999999996,1568.0,1593.0,6.4071731,,13140.5940594,114.5,1.0,1.0,1.0,8.833,,,,,0.05,,0.48100000000000004,,0.02
132,2.0,0.385155,0.093186,0.12467550000000001,0.094611,0.042455099999999996,1560.0,1591.0,8.152084200000001,,13307.2419106,114.8,1.0,1.0,1.0,11.190999999999999,,,,,0.05,,0.41,0.07400000000000001,0.02
133,2.0,0.420645,0.083142,0.11679,0.082737,0.0423111,1556.0,1577.0,6.6955224,,13117.1792948,114.0,1.0,1.0,1.0,8.972000000000001,,,,,0.05,,0.456,0.061,0.02
134,2.5900043999999998,0.436795,0.08091,0.100727,0.102835,0.0428873,1564.0,1587.0,7.1311039,,12881.5724816,115.8,1.0,1.0,1.0,9.833,,,,,0.05,,0.47700000000000004,0.071,0.02
135,2.6094975,0.45269,0.098208,0.162332,0.131527,0.0428873,1553.0,1579.0,8.839673300000001,,13097.7020015,115.9,1.0,1.0,1.0,12.626,,,,,0.05,,0.491,0.07,0.02
136,2.6853043,0.45373,0.08593200000000001,0.12559,0.10713800000000001,0.0420525,1576.0,1585.0,7.2788321,,13503.849444,113.9,1.0,1.0,1.0,7.202000000000001,,,,,0.05,,0.496,0.069,0.02
137,2.7126623,0.42758999999999997,0.11494800000000001,0.184871,0.145522,0.0440961,1503.0,1585.0,12.639587599999999,,14451.0,115.9,1.0,1.0,1.0,20.434,,,0.153,,0.05,,0.456,0.048,0.02
138,2.0,0.42673,0.120528,0.20844050000000003,0.177244,0.04164980000000001,1569.0,1581.0,10.515973599999999,,14338.5444744,115.3,1.0,1.0,1.0,15.032,,,0.174,,0.05,,0.45299999999999996,0.036000000000000004,0.02
139,3.5248918,0.407525,0.083142,0.112026,0.09692100000000001,0.040815,1550.0,1594.0,10.9441617,,13441.5213946,115.6,1.0,1.0,1.0,16.246,,,0.059000000000000004,,0.05,,0.44,0.048,0.02
140,2.6969697,0.479125,0.109926,0.1958645,0.154381,0.0414477,1565.0,1640.0,8.016221799999999,,14545.368171,115.3,1.0,1.0,1.0,13.013,,,0.154,,0.395,,0.222,0.063,0.02
141,3.4159483,0.462495,0.077562,0.1319075,0.10565799999999999,0.0400661,1506.0,1600.0,5.4156331,,13910.9243697,112.7,1.0,1.0,1.0,9.873,,,0.07400000000000001,,0.638,,,0.064,0.02
142,3.65625,0.45113500000000006,0.073098,0.10567850000000001,0.125524,0.0403829,1537.0,1597.0,10.997923,,14250.1058574,115.1,1.0,1.0,1.0,15.003,,,0.059000000000000004,,0.05,,0.496,0.049,0.02
143,2.7076412,0.46748999999999996,0.07812000000000001,0.111603,0.10468399999999999,0.041822500000000006,1534.0,1595.0,9.624915800000002,,13738.2836275,116.7,1.0,1.0,1.0,14.293,,,,,0.05,,0.515,0.07,0.02
144,3.0,0.4871,0.121644,0.16493,0.15237799999999999,0.041217699999999996,1579.0,1582.0,11.7671642,,14061.1295681,115.4,1.0,1.0,1.0,15.767999999999999,,,,,0.05,,0.529,0.038,0.02
145,3.0,0.41940500000000003,0.10323,0.152294,0.15473299999999998,0.041620300000000006,1562.0,1588.0,7.916006299999999,,13307.4043938,115.9,1.0,1.0,1.0,11.1,,,0.059000000000000004,,0.57,,,0.048,0.02
146,3.0315421000000002,0.501045,0.128898,0.16116,0.153936,0.0407282,1608.0,1581.0,8.5322673,,14011.443433000002,114.1,1.0,1.0,1.0,12.45,,,,,0.05,,0.545,0.049,0.02
147,2.7868339,0.47855,0.12834,0.144243,0.162912,0.0406129,1577.0,1585.0,12.0322556,,13891.8367347,115.3,1.0,1.0,1.0,17.781,,,0.115,,0.05,,0.518,0.037000000000000005,0.02
148,2.8448276000000003,0.50544,0.129456,0.170571,0.201432,0.0402969,1571.0,1588.0,9.683091000000001,,14217.322834600001,115.5,1.0,1.0,1.0,14.062000000000001,,,0.17600000000000002,,0.05,,0.55,0.035,0.02
149,2.7810651,0.42504,0.11383199999999999,0.16178399999999998,0.179481,0.0407282,1545.0,1588.0,11.9934516,,14574.281391799997,115.2,1.0,1.0,1.0,19.535999999999998,,,0.11599999999999999,,0.05,,0.45399999999999996,0.049,0.02
150,3.0,0.42849499999999996,0.12443399999999999,0.160905,0.169479,0.04097290000000001,1580.0,1583.0,11.5857034,,12945.589325399998,116.1,1.0,1.0,1.0,16.928,,,0.11599999999999999,,0.578,,,0.085,0.02
151,,0.47271,0.103788,0.174562,0.130975,0.0402591,1564.0,1583.0,5.314323,,12646.1538462,112.8,1.0,1.0,1.0,6.792000000000001,,,,,0.645,,,0.057,0.02
152,4.1420765,0.393945,0.12108599999999999,0.16686199999999998,0.12754100000000002,0.041002699999999996,1512.0,1591.0,18.2138042,,13368.1395349,115.1,1.0,1.0,1.0,25.215999999999998,,,0.095,,0.05,,0.414,0.06,0.02
153,3.6499437999999995,0.4537,0.09486,0.16095399999999999,0.197467,0.041002699999999996,1528.0,1598.0,14.218342999999999,,14299.651567899999,116.0,1.0,1.0,1.0,23.168000000000003,,,0.188,,0.05,,0.493,0.059000000000000004,0.02
154,,,,,,,,,,,,,,,,,,,,,,,,,
155,,0.344385,0.10769400000000001,0.149547,0.172188,0.0415755,1581.0,1582.0,10.5750655,,12536.270653,116.3,1.0,1.0,1.0,20.169,,,0.14,,0.462,,,0.083,0.02
156,2.0922787,0.406105,0.089838,0.151049,0.18171199999999998,0.0402591,1573.0,1587.0,7.798913799999999,,12737.0558376,112.9,1.0,1.0,1.0,11.967,,,,,0.5539999999999999,,,0.059000000000000004,0.02
157,,0.42399499999999996,0.11997000000000001,0.202009,0.189322,0.0418041,1581.0,1578.0,10.9262301,,12405.714285700002,116.7,1.0,1.0,1.0,15.667,,,0.083,,0.05,,0.45,0.06,0.02
158,2.0,0.43716499999999997,0.12108599999999999,0.20315899999999998,0.184436,0.0416894,1526.0,1521.0,12.174130499999999,,12464.9337911,117.2,2.0,1.0,1.0,19.739,,,,,0.05,,0.466,0.057999999999999996,0.02
159,2.0,0.33564,0.11383199999999999,0.20407,0.195748,0.040974199999999995,1566.0,1592.0,12.810733500000001,,12262.321144700001,115.1,1.0,1.0,1.0,17.903,,,0.152,,0.05,,0.342,0.057,0.02
160,3.4274760000000004,0.38326,0.120528,0.189246,0.21245999999999998,0.040001199999999994,1591.0,1636.0,13.6860699,,13315.7169693,111.8,1.0,1.0,1.0,18.94,,,0.304,,0.513,,,0.06,0.02
161,3.2761099,0.447165,0.14563800000000002,0.24740900000000002,0.177176,0.0418611,1570.0,1607.0,14.502366699999998,,13295.906432700001,115.9,1.0,1.0,1.0,22.809,,,0.21,,0.05,,0.47200000000000003,0.055999999999999994,0.02
162,3.1470449,0.42391999999999996,0.08816399999999999,0.173094,0.174807,0.0411459,1557.0,1606.0,10.2536023,,13270.212765999999,115.7,1.0,1.0,1.0,17.79,,,0.301,,0.05,,0.457,0.059000000000000004,0.02
163,2.5367028,0.4616,0.09486,0.20574699999999999,0.186454,0.0418041,1581.0,1600.0,8.9553895,,13214.742014700001,116.2,1.0,1.0,1.0,12.647,,,0.065,,0.05,,0.501,,0.03
164,2.0,0.458675,0.08091,0.180203,0.180029,0.041775599999999996,1606.0,1584.0,9.185731599999999,,12145.2449568,114.7,1.0,1.0,1.0,12.661,,,,,0.05,,0.501,0.069,0.02
165,2.9244265,0.4354,0.095976,0.16406600000000002,0.11700799999999999,0.041289099999999995,1574.0,1586.0,11.6045677,,13497.7138019,115.6,1.0,1.0,1.0,15.808,,,,,0.05,,0.47,0.085,0.02
166,2.5622397,0.39547,0.08035199999999999,0.128457,0.088278,0.0396294,1578.0,1590.0,6.3618264,,13013.6842105,113.0,1.0,1.0,1.0,8.592,,,,,0.05,,0.425,0.066,0.02
167,2.6005761,0.45125,0.091512,0.149018,0.12455,0.0418326,1574.0,1599.0,8.2850238,,13196.6503838,117.4,1.0,1.0,1.0,13.523,,,0.092,,0.05,,0.491,0.048,0.02
168,2.6632265,0.42982,0.102672,0.16124000000000002,0.157211,0.040716300000000004,1588.0,1590.0,12.006597300000001,,12904.8859935,114.5,1.0,1.0,1.0,16.986,,,0.145,,0.05,,0.462,0.069,0.02
169,2.3835740000000003,0.40014,0.090396,0.12595,0.115558,0.040373,1578.0,1593.0,10.991121000000001,,12972.972973,115.6,1.0,1.0,1.0,16.505,,,,,0.05,,0.429,0.083,0.02
170,2.4948855,0.377825,0.060822,0.100678,0.120268,0.04069419999999999,1586.0,1593.0,7.587830099999999,,13292.5714286,114.8,1.0,1.0,1.0,11.015,,,,,0.05,,0.408,0.09300000000000001,0.02
171,2.6746114,0.41153999999999996,0.10044,0.15691,0.135844,0.04124969999999999,1585.0,1597.0,8.1737338,,13003.373494,115.4,1.0,1.0,1.0,12.776,,,0.047,,0.05,,0.44,0.057,0.02
172,2.5063636000000002,0.460225,0.10546199999999999,0.18753499999999998,0.168398,0.0414509,1596.0,1581.0,7.2787004,,13010.3542234,116.1,1.0,1.0,1.0,10.081,,,,,0.05,,0.498,0.036000000000000004,0.02
173,2.7134417,0.46151000000000003,0.091512,0.166927,0.156184,0.0401615,1594.0,1587.0,10.3118866,,13095.697074,116.0,1.0,1.0,1.0,15.76,,,0.121,,0.05,,0.503,0.081,0.02
174,2.0,0.42501000000000005,0.07254,0.154051,0.148714,0.0403904,1584.0,1596.0,9.6231485,,13481.184669,114.4,1.0,1.0,1.0,15.52,,,0.057999999999999996,,0.05,,0.462,0.038,0.02
175,2.5611791,0.40287,0.063612,0.11095,0.125065,0.0413361,1594.0,1582.0,8.4833879,,13003.9651071,115.9,1.0,1.0,1.0,12.242,,,,,0.05,,0.43799999999999994,0.071,0.02
176,2.2940497000000004,0.47001000000000004,0.056915999999999994,0.062689,0.098035,0.0404767,1596.0,1604.0,8.1259285,,13064.8793566,114.1,1.0,1.0,1.0,13.005999999999998,,,0.058,,0.05,,0.524,0.07400000000000001,0.02
177,2.7446808999999996,0.42198,0.087048,0.141718,0.137491,0.0418231,1581.0,1597.0,10.375782199999998,,13451.046025100002,117.1,1.0,1.0,1.0,14.186,,,0.07200000000000001,,0.05,,0.456,0.038,0.02
178,3.8833181000000003,0.38591,0.090396,0.163348,0.139579,0.0403904,1562.0,1617.0,10.0620272,,13523.9709443,112.9,1.0,1.0,1.0,14.78,,,0.16399999999999998,,0.05,,0.41,0.032,0.02
179,3.0844316000000003,0.45206,0.091512,0.149546,0.14616500000000002,0.0420235,1562.0,1596.0,12.3156387,,13413.146853100001,116.9,1.0,1.0,1.0,17.194000000000003,,,0.057,,0.05,,0.49200000000000005,0.026000000000000002,0.02
180,2.7520408,0.38715,0.077004,0.11341099999999998,0.147866,0.04124969999999999,1569.0,1597.0,12.9770035,,12862.0588235,116.5,1.0,1.0,1.0,18.622,,,,,0.05,,0.41600000000000004,,0.02
181,3.9138075,0.47258,0.037944,0.081411,0.085005,0.091365,1582.0,1623.0,15.772661900000001,12.680311099999999,13718.5080929,112.0,1.0,1.0,1.0,0.609,17.21,,,,0.05,,0.53,,0.02
