,МАРКА_rare,МАРКА_Э76ХФ,МАРКА_Э90ХАФ,ПРОФИЛЬ_rare,ПРОФИЛЬ_Р65,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
86,0,1,0,0,1,7.0,55.9,23.2666667,55.9,2.2108247000000003,0.36976,0.102284,0.187223,0.149226,0.0417651,1605.0,1537.0,14.146164800000001,12948.137535799999,116.9,24.744,0.1321788260167713,0.05,0.387,0.057999999999999996,0.02,0.052988,0.151,0.29100000000000004,0.182,5021.0,0.002,0.505,0.33899999999999997,0.115,0.647,0.006999999999999999,0.009000000000000001,0.078,0.008,0.022000000000000002,0.446,0.002,0.002,0.003,0.758,0.0002,0.42,0.115,0.8029999999999999,0.006,0.01,0.079,0.008,0.017,0.57,0.003,0.038,4.113897089835528,53.2,0.7,14.7,0.1,2.3,22.70491353859137,,58.3,0.6,7.3,0.15,2.2,
87,0,1,0,0,1,7.0,63.216666700000005,30.5833333,63.216666700000005,3.0320987999999995,0.3642,0.12476400000000001,0.21105700000000002,0.148715,0.0415366,1558.0,1602.0,8.489166099999998,13885.9945504,115.1,17.391,0.102,0.05,0.375,0.031,0.02,0.052698,0.14,0.32899999999999996,0.222,7078.0,0.002,0.501,0.31,0.08900000000000001,0.622,0.005,0.011000000000000001,0.061,0.005,0.019,0.466,0.002,0.002,0.003,0.76,0.0003,0.413,0.09,0.79,0.004,0.011000000000000001,0.062,0.006,0.011000000000000001,0.546,0.003,0.037000000000000005,4.113897089835528,49.1,1.0,13.6,0.27,2.0,22.70491353859137,,59.1,0.5,6.9,0.14,2.2,
88,0,1,0,0,1,22.0,175.31666669999998,42.2,175.31666669999998,2.8913043,0.295725,0.128698,0.204014,0.14418599999999998,0.041051800000000006,1568.0,1630.0,6.0336534,14190.9952607,116.3,35.26,0.142,0.05,0.29,0.059000000000000004,0.02,0.052083000000000004,0.136,0.318,0.22899999999999998,9981.0,0.002,0.518,0.308,0.10800000000000001,0.622,0.006,0.01,0.073,0.005,0.018000000000000002,0.45,0.002,0.002,0.003,0.746,0.0002,0.418,0.109,0.797,0.005,0.011000000000000001,0.073,0.006,0.01,0.544,0.003,0.037000000000000005,4.113897089835528,50.7,0.4,12.2,0.16,2.3,22.70491353859137,,56.0,0.6,14.5,0.18,2.1,
89,0,1,0,0,1,41.0,70.25,33.033333299999995,70.25,3.2287941000000004,0.31345,0.113524,0.170498,0.11555599999999999,0.040054,1540.0,1610.0,9.0640569,13640.7669021,111.6,21.225,0.141,0.05,0.316,0.06,0.02,0.050817,0.106,0.266,0.20199999999999999,7510.0,0.001,0.495,0.319,0.11900000000000001,0.648,0.006999999999999999,0.011000000000000001,0.07400000000000001,0.006,0.021,0.475,0.002,0.002,0.003,0.755,0.0002,0.418,0.115,0.7959999999999999,0.005,0.013999999999999999,0.07400000000000001,0.006999999999999999,0.017,0.563,0.003,0.038,4.113897089835528,55.4,0.3,11.5,0.12,2.3,22.70491353859137,,58.2,0.3,7.1,0.1,2.2,
90,0,1,0,0,1,63.0,46.2,22.3166667,46.2,2.5574572,0.422725,0.111838,0.177815,0.16986199999999999,0.0407109,1586.0,1606.0,19.220892300000003,13348.7677371,115.5,29.44,0.094,0.05,0.451,0.059000000000000004,0.02,0.05146799999999999,0.187,0.275,0.19899999999999998,4965.0,0.002,0.434,0.32799999999999996,0.111,0.648,0.008,0.011000000000000001,0.07400000000000001,0.009000000000000001,0.023,0.424,0.002,0.003,0.003,0.7609999999999999,0.0005,0.42100000000000004,0.11,0.8079999999999999,0.006999999999999999,0.013999999999999999,0.07400000000000001,0.01,0.012,0.579,0.003,0.038,4.113897089835528,48.1,0.2,11.3,0.11,2.0,22.70491353859137,,52.5,0.4,13.7,0.13,2.0,
92,0,1,0,0,1,15.0,57.9,27.683333299999997,57.9,2.7623147,0.48357,0.12251600000000001,0.200449,0.13029100000000002,0.0414892,1561.0,1586.0,8.851813499999999,13435.5207706,115.5,17.084,0.1321788260167713,0.055999999999999994,0.518,0.132,0.02,0.052445000000000006,0.11599999999999999,0.313,0.218,6199.0,0.002,0.39399999999999996,0.319,0.10300000000000001,0.621,0.006999999999999999,0.01,0.07200000000000001,0.006,0.021,0.466,0.002,0.002,0.002,0.765,0.0006,0.419,0.102,0.789,0.006,0.012,0.07200000000000001,0.006999999999999999,0.019,0.5760000000000001,0.003,0.038,4.113897089835528,61.5,0.4,8.7,0.11,2.6,22.70491353859137,,52.9,0.5,14.3,0.09,2.1,
93,0,1,0,0,1,29.0,42.716666700000005,16.6833333,42.716666700000005,2.6237112999999996,0.4335,0.113524,0.189868,0.133175,0.041002699999999996,1595.0,1587.0,9.632774099999999,13245.5544456,115.0,13.716,0.1321788260167713,0.157,0.371,0.094,0.02,0.051829999999999994,0.125,0.29600000000000004,0.20199999999999999,3683.0,0.001,0.445,0.322,0.098,0.618,0.006999999999999999,0.01,0.069,0.006,0.019,0.445,0.001,0.002,0.003,0.75,0.0001,0.414,0.098,0.785,0.006,0.013000000000000001,0.069,0.006999999999999999,0.013999999999999999,0.565,0.003,0.037000000000000005,4.113897089835528,52.5,0.8,14.5,0.15,2.2,22.70491353859137,,56.9,0.6,7.9,0.11,2.2,
94,0,1,0,0,1,20.0,42.05,18.716666699999998,42.05,2.6927711,0.459085,0.12420199999999999,0.218667,0.192129,0.0404023,1602.0,1590.0,13.9134364,12951.0240427,112.3,19.502,0.19,0.05,0.49200000000000005,0.059000000000000004,0.02,0.051071,0.204,0.33899999999999997,0.221,4040.0,0.001,0.418,0.316,0.12,0.604,0.006999999999999999,0.011000000000000001,0.073,0.006999999999999999,0.021,0.40399999999999997,0.001,0.002,0.003,0.762,0.0002,0.418,0.11800000000000001,0.7959999999999999,0.006,0.013000000000000001,0.073,0.006999999999999999,0.013000000000000001,0.5670000000000001,0.003,0.038,4.113897089835528,49.5,0.8,16.5,0.39,1.8,22.70491353859137,,50.9,0.3,13.2,0.13,2.0,
95,0,1,0,0,1,23.0,41.6666667,20.1833333,41.6666667,2.8292254,0.45414499999999997,0.088234,0.182319,0.153034,0.040831,1582.0,1596.0,15.848709699999999,13029.5623452,115.8,21.836,0.1321788260167713,0.05,0.494,0.059000000000000004,0.02,0.051613,0.159,0.28300000000000003,0.157,4383.0,0.002,0.42200000000000004,0.344,0.1,0.644,0.006,0.01,0.069,0.006999999999999999,0.021,0.455,0.002,0.002,0.003,0.7559999999999999,0.0003,0.41600000000000004,0.10099999999999999,0.794,0.005,0.013000000000000001,0.07,0.008,0.017,0.56,0.003,0.037000000000000005,4.113897089835528,49.9,0.7,12.8,0.2,2.3,22.70491353859137,,49.0,1.0,12.6,0.2,2.2,
96,0,1,0,0,1,20.0,41.7,19.75,41.7,2.6856218,0.358415,0.06687799999999999,0.07337250000000001,0.087436,0.0395439,1570.0,1595.0,11.5726619,13278.9873418,110.8,16.086,0.105,0.05,0.384,0.059000000000000004,0.02,0.049986,0.10400000000000001,0.113,0.11900000000000001,4371.0,0.002,0.478,0.359,0.102,0.718,0.006,0.01,0.066,0.009000000000000001,0.018000000000000002,0.49,0.002,0.002,0.004,0.7559999999999999,0.0004,0.415,0.10099999999999999,0.782,0.005,0.012,0.066,0.009000000000000001,0.016,0.568,0.003,0.037000000000000005,4.113897089835528,58.8,0.6,10.4,0.13,2.7,22.70491353859137,,61.1,0.4,7.2,0.09,2.6,
97,0,1,0,0,1,18.0,45.55,22.6833333,45.55,2.5764547,0.41383500000000006,0.08148999999999999,0.142817,0.14155,0.041403800000000004,1567.0,1586.0,10.8065862,13191.1829537,115.6,16.408,0.094,0.05,0.447,0.059000000000000004,0.02,0.052337,0.158,0.222,0.145,4987.0,0.002,0.451,0.353,0.10300000000000001,0.6709999999999999,0.006999999999999999,0.011000000000000001,0.073,0.008,0.02,0.457,0.002,0.002,0.004,0.767,0.0004,0.419,0.10300000000000001,0.7929999999999999,0.006,0.013000000000000001,0.073,0.009000000000000001,0.015,0.565,0.003,0.038,4.113897089835528,55.4,0.4,10.6,0.15,2.6,22.70491353859137,,51.8,0.9,9.2,0.18,2.4,
98,0,1,0,0,1,16.0,42.05,19.5166667,42.05,2.7869159,0.37961500000000004,0.12307799999999999,0.1957475,0.173625,0.0418611,1577.0,1595.0,11.7831153,13695.9863365,114.9,16.516000000000002,0.237,0.507,0.42016204219121506,0.049,0.02,0.052915,0.185,0.305,0.21899999999999997,4455.0,0.001,0.483,0.315,0.102,0.621,0.006,0.013000000000000001,0.066,0.008,0.024,0.434,0.001,0.002,0.003,0.77,0.0005,0.41700000000000004,0.10099999999999999,0.792,0.005,0.015,0.066,0.009000000000000001,0.019,0.5589999999999999,0.003,0.038,4.113897089835528,54.4,0.7,13.2,0.19,2.1,22.70491353859137,,58.6,0.6,8.5,0.14,2.2,
99,0,1,0,0,1,14.0,44.7,18.35,44.7,2.7123288,0.515295,0.15055,0.2530415,0.2321,0.0417179,1580.0,1581.0,17.0238772,13873.569482299998,113.9,25.271,0.191,0.05,0.555,0.026000000000000002,0.02,0.052734,0.251,0.39399999999999996,0.26899999999999996,4243.0,0.001,0.371,0.292,0.09699999999999999,0.5660000000000001,0.006,0.013000000000000001,0.07,0.006,0.026000000000000002,0.36700000000000005,0.001,0.001,0.003,0.762,0.0003,0.418,0.098,0.792,0.005,0.015,0.07,0.008,0.019,0.57,0.003,0.036000000000000004,4.113897089835528,50.3,0.8,17.2,0.62,1.9,22.70491353859137,,53.3,0.4,14.9,0.14,2.0,
100,0,1,0,0,1,8.0,41.3333333,17.4833333,41.3333333,2.9575472,0.464805,0.144522,0.2192265,0.1827,0.041289099999999995,1599.0,1590.0,19.2883065,13971.020019100002,116.0,26.575,0.20199999999999999,0.05,0.495,0.034,0.02,0.052191999999999995,0.18899999999999997,0.342,0.259,4071.0,0.001,0.413,0.299,0.10400000000000001,0.588,0.006999999999999999,0.013000000000000001,0.073,0.006999999999999999,0.023,0.405,0.001,0.002,0.003,0.75,0.0003,0.419,0.10300000000000001,0.782,0.006,0.013999999999999999,0.07200000000000001,0.008,0.016,0.56,0.003,0.038,4.113897089835528,49.8,0.5,16.6,0.27,1.9,22.70491353859137,,55.3,0.4,10.8,0.13,2.2,
101,0,1,0,0,1,7.0,40.1833333,14.733333300000002,40.1833333,2.519573,0.4381,0.103788,0.1343175,0.15535,0.038256,1601.0,1591.0,10.7169749,13398.1900452,111.4,14.328,0.047,0.05,0.473,0.024,0.02,0.048358,0.183,0.20800000000000002,0.18600000000000003,3290.0,0.002,0.414,0.327,0.102,0.6609999999999999,0.01,0.012,0.08,0.009000000000000001,0.025,0.414,0.001,0.004,0.003,0.7709999999999999,0.0002,0.41600000000000004,0.1,0.787,0.009000000000000001,0.013999999999999999,0.079,0.01,0.019,0.5579999999999999,0.003,0.039,4.113897089835528,50.2,0.6,17.2,0.39,1.9,22.70491353859137,,52.9,0.4,14.4,0.14,2.0,
102,0,1,0,0,1,8.0,40.2,14.366666699999998,40.2,2.6617647,0.496515,0.128898,0.1946745,0.125525,0.040945800000000004,1606.0,1590.0,10.4514925,13510.440835299998,115.3,14.005,0.057999999999999996,0.05,0.5379999999999999,0.027000000000000003,0.02,0.051758000000000005,0.111,0.305,0.231,3235.0,0.002,0.387,0.309,0.098,0.61,0.008,0.011000000000000001,0.07,0.008,0.023,0.428,0.001,0.002,0.003,0.753,0.0002,0.415,0.096,0.784,0.006999999999999999,0.013000000000000001,0.07,0.008,0.017,0.551,0.003,0.039,4.113897089835528,51.3,1.1,16.6,0.3,2.0,22.70491353859137,,47.6,0.5,9.4,0.11,2.1,
103,0,1,0,0,1,6.0,40.7,21.1333333,40.7,2.0,0.441975,0.060822,0.156255,0.113015,0.040945800000000004,1565.0,1598.0,17.952631600000004,13835.0157729,115.1,24.256,0.057999999999999996,0.05,0.485,0.049,0.02,0.051758000000000005,0.10800000000000001,0.243,0.109,4873.0,0.002,0.428,0.368,0.11,0.652,0.011000000000000001,0.011000000000000001,0.086,0.011000000000000001,0.025,0.46799999999999997,0.002,0.002,0.003,0.755,0.0003,0.419,0.11,0.794,0.011000000000000001,0.012,0.086,0.012,0.019,0.563,0.003,0.039,4.113897089835528,58.3,0.7,14.5,0.16,2.5,22.70491353859137,,57.4,0.6,11.4,0.1,2.5,
104,0,1,0,0,1,7.0,42.05,14.5333333,42.05,3.0,0.5044850000000001,0.109926,0.18173399999999998,0.14723699999999998,0.0404023,1613.0,1597.0,19.239239,13859.174311899998,113.9,26.967,0.175,0.05,0.552,0.055999999999999994,0.02,0.051071,0.15,0.281,0.19699999999999998,3357.0,0.001,0.395,0.322,0.10099999999999999,0.62,0.006999999999999999,0.012,0.067,0.008,0.024,0.426,0.001,0.003,0.003,0.763,0.0002,0.41600000000000004,0.10099999999999999,0.79,0.006,0.012,0.067,0.01,0.015,0.555,0.003,0.038,4.113897089835528,52.9,0.3,14.4,0.43,2.0,22.70491353859137,,50.0,0.5,17.1,0.13,2.0,
105,0,1,0,0,1,10.0,42.216666700000005,20.0166667,42.216666700000005,2.8357487999999997,0.51542,0.151776,0.22398049999999997,0.162169,0.040974199999999995,1587.0,1595.0,11.1148046,14145.2123231,115.5,15.640999999999998,0.18899999999999997,0.05,0.556,0.05472961086294361,0.02,0.05179400000000001,0.155,0.34700000000000003,0.272,4719.0,0.001,0.391,0.29,0.10800000000000001,0.591,0.01,0.011000000000000001,0.09,0.006999999999999999,0.023,0.41200000000000003,0.001,0.002,0.003,0.757,0.0002,0.41700000000000004,0.107,0.789,0.01,0.012,0.08900000000000001,0.008,0.019,0.5589999999999999,0.003,0.038,4.113897089835528,46.2,1.0,21.4,0.43,1.8,22.70491353859137,,52.0,0.5,14.4,0.15,2.0,
106,0,1,0,0,1,11.0,42.1666667,21.216666699999998,42.1666667,2.852194,0.44914,0.11494800000000001,0.17364649999999998,0.09784,0.03994419999999999,1566.0,1597.0,9.2685714,13758.051846,111.6,12.975999999999999,0.047,0.05,0.483,0.035,0.02,0.050492,0.077,0.27,0.20600000000000002,4865.0,0.002,0.41200000000000003,0.315,0.106,0.625,0.006999999999999999,0.01,0.076,0.006,0.023,0.47700000000000004,0.001,0.002,0.003,0.759,0.0001,0.415,0.106,0.787,0.006,0.012,0.076,0.006999999999999999,0.018000000000000002,0.5579999999999999,0.003,0.038,4.113897089835528,56.0,0.6,14.3,0.3,2.1,22.70491353859137,,57.3,0.7,8.3,0.15,2.2,
107,0,1,0,0,1,8.0,48.8666667,29.383333299999997,48.8666667,3.0,0.44928999999999997,0.103788,0.186498,0.133053,0.0407741,1534.0,1599.0,8.3480218,14018.1508792,115.3,13.597999999999999,0.057999999999999996,0.611,0.42016204219121506,0.046,0.02,0.051541,0.126,0.289,0.18600000000000003,6865.0,0.002,0.405,0.32799999999999996,0.086,0.637,0.01,0.01,0.075,0.006999999999999999,0.022000000000000002,0.46799999999999997,0.002,0.002,0.003,0.76,0.0004,0.42100000000000004,0.087,0.799,0.011000000000000001,0.011000000000000001,0.078,0.008,0.018000000000000002,0.562,0.003,0.04,4.113897089835528,59.0,0.7,9.3,0.16,2.8,22.70491353859137,,55.9,0.8,10.7,0.12,2.5,
108,0,1,0,0,1,7.0,41.35,22.25,41.35,3.0,0.33210500000000004,0.079794,0.073425,0.074601,0.0394292,1557.0,1599.0,15.3083434,13849.887640399998,115.4,21.1,0.1321788260167713,0.05,0.349,0.094,0.02,0.049841,0.084,0.113,0.14300000000000002,5136.0,0.003,0.517,0.35,0.106,0.71,0.006999999999999999,0.01,0.071,0.013999999999999999,0.023,0.48,0.003,0.004,0.004,0.767,0.0001,0.425,0.106,0.789,0.006,0.012,0.071,0.015,0.019,0.5529999999999999,0.004,0.038,4.113897089835528,62.1,0.8,8.3,0.14,3.0,22.70491353859137,,60.9,0.9,5.3,0.11,2.7,
109,1,0,0,1,0,8.0,46.2,23.966666699999998,46.2,2.6612902999999997,0.43086,0.11769215213326534,0.165501,0.045843,0.0411459,1592.0,1640.0,12.487013000000001,14182.1974965,113.6,19.23,0.1321788260167713,0.541,0.057999999999999996,0.083,0.02,0.052011,0.14343640629687487,0.259,0.20803892578616365,5665.0,0.001,0.376,0.122,0.08800000000000001,0.6859999999999999,0.006,0.009000000000000001,0.064,0.013000000000000001,0.025,0.259,0.001,0.002,0.003,0.74,0.0001,0.126,0.08800000000000001,0.835,0.005,0.012,0.064,0.015,0.016,0.29600000000000004,0.002,0.039,4.113897089835528,60.7,0.3,9.1,0.19,2.5,22.70491353859137,,62.1,0.9,8.2,0.12,2.7,
111,1,0,0,1,0,21.0,47.033333299999995,16.1833333,47.033333299999995,3.6385947999999995,0.43833,0.11769215213326534,0.23182550000000002,0.086824,0.0399515,1623.0,1619.0,8.521225099999999,13840.164778600001,109.8,13.215,0.1321788260167713,0.05,0.489,0.025,0.02,0.050203,0.035,0.36200000000000004,0.20803892578616365,3733.0,0.001,0.37200000000000005,0.099,0.10800000000000001,0.633,0.01,0.011000000000000001,0.087,0.008,0.021,0.22899999999999998,0.001,0.002,0.002,0.7190000000000001,0.0002,0.1,0.107,0.8370000000000001,0.009000000000000001,0.013000000000000001,0.086,0.009000000000000001,0.016,0.313,0.002,0.038,4.113897089835528,51.0,0.7,17.6,0.28,2.3,22.70491353859137,,50.8,0.5,14.6,0.13,2.2,
