,МАРКА,t вып-обр,t обработка,t под током,t продувка,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2,isna_SiO2,isna_Al2O3
86,Э76ХФ,7.0,55.9,23.2666667,55.9,0.36976,0.102284,0.187223,0.149226,0.0417651,1605.0,1537.0,14.146164800000001,12948.137535799999,116.9,2.0,24.744,0.116,0.05,0.387,0.057999999999999996,0.02,0.052988,0.151,0.29100000000000004,0.182,5021.0,0.002,0.505,0.33899999999999997,0.115,0.647,0.006999999999999999,0.009000000000000001,0.078,0.008,0.022000000000000002,0.446,0.002,0.002,0.003,0.758,0.0002,0.42,0.115,0.8029999999999999,0.006,0.01,0.079,0.008,0.017,0.57,0.003,0.038,3.8280669170524195,53.2,0.7,14.7,0.1,2.3,23.45413904195599,3.9941722666948474,58.3,0.6,7.3,0.15,2.2,26.42225858447687,True,True
87,Э76ХФ,7.0,63.216666700000005,30.5833333,63.216666700000005,0.3642,0.12476400000000001,0.21105700000000002,0.148715,0.0415366,1558.0,1602.0,8.489166099999998,13885.9945504,115.1,1.0,17.391,0.10199999999999998,0.05,0.375,0.031,0.02,0.052698,0.14,0.32899999999999996,0.222,7078.0,0.002,0.501,0.31,0.08900000000000001,0.622,0.005,0.011000000000000001,0.061,0.005,0.019,0.466,0.002,0.002,0.003,0.76,0.0003,0.413,0.09,0.79,0.004,0.011000000000000001,0.062,0.006,0.011000000000000001,0.546,0.003,0.037000000000000005,4.01862917317401,49.1,1.0,13.6,0.27,2.0,23.667345221907524,3.758982289421975,59.1,0.5,6.9,0.14,2.2,26.83484999204893,True,True
89,Э76ХФ,41.0,70.25,33.033333299999995,70.25,0.31345,0.113524,0.170498,0.11555599999999999,0.040054,1540.0,1610.0,9.0640569,13640.7669021,111.6,1.0,21.225,0.141,0.05,0.316,0.06,0.02,0.050817,0.106,0.266,0.20199999999999999,7510.0,0.001,0.495,0.319,0.11900000000000001,0.648,0.006999999999999999,0.011000000000000001,0.07400000000000001,0.006,0.021,0.475,0.002,0.002,0.003,0.755,0.0002,0.418,0.115,0.7959999999999999,0.005,0.013999999999999999,0.07400000000000001,0.006999999999999999,0.017,0.563,0.003,0.038,3.7970354466315994,55.4,0.3,11.5,0.12,2.3,24.001992477630495,3.63303668670381,58.2,0.3,7.1,0.1,2.2,26.389350982805688,True,True
90,Э76ХФ,63.0,46.2,22.3166667,46.2,0.422725,0.111838,0.177815,0.16986199999999999,0.0407109,1586.0,1606.0,19.220892300000003,13348.7677371,115.5,1.0,29.44,0.09400000000000001,0.05,0.451,0.059000000000000004,0.02,0.05146799999999999,0.187,0.275,0.19899999999999998,4965.0,0.002,0.434,0.32799999999999996,0.111,0.648,0.008,0.011000000000000001,0.07400000000000001,0.009000000000000001,0.023,0.424,0.002,0.003,0.003,0.7609999999999999,0.0005,0.42100000000000004,0.11,0.8079999999999999,0.006999999999999999,0.013999999999999999,0.07400000000000001,0.01,0.012,0.579,0.003,0.038,4.160605538691472,48.1,0.2,11.3,0.11,2.0,23.547568467431773,4.2631158476303215,52.5,0.4,13.7,0.13,2.0,26.105541663583672,True,True
92,Э76ХФ,15.0,57.9,27.683333299999997,57.9,0.48357,0.12251600000000001,0.200449,0.13029100000000002,0.0414892,1561.0,1586.0,8.851813499999999,13435.5207706,115.5,1.0,17.084,0.116,0.055999999999999994,0.518,0.132,0.02,0.052445000000000006,0.11599999999999999,0.313,0.218,6199.0,0.002,0.39399999999999996,0.319,0.10300000000000001,0.621,0.006999999999999999,0.01,0.07200000000000001,0.006,0.021,0.466,0.002,0.002,0.002,0.765,0.0006,0.419,0.102,0.789,0.006,0.012,0.07200000000000001,0.006999999999999999,0.019,0.5760000000000001,0.003,0.038,3.9061732982845285,61.5,0.4,8.7,0.11,2.6,23.88720772048454,4.290054302371817,52.9,0.5,14.3,0.09,2.1,25.273739125097613,True,True
93,Э76ХФ,29.0,42.716666700000005,16.6833333,42.716666700000005,0.4335,0.113524,0.189868,0.133175,0.041002699999999996,1595.0,1587.0,9.632774099999999,13245.5544456,115.0,1.0,13.716,0.116,0.157,0.371,0.094,0.02,0.051829999999999994,0.125,0.29600000000000004,0.20199999999999999,3683.0,0.001,0.445,0.322,0.098,0.618,0.006999999999999999,0.01,0.069,0.006,0.019,0.445,0.001,0.002,0.003,0.75,0.0001,0.414,0.098,0.785,0.006,0.013000000000000001,0.069,0.006999999999999999,0.013999999999999999,0.565,0.003,0.037000000000000005,3.8649846522250524,52.5,0.8,14.5,0.15,2.2,23.92507695457431,4.098139469036371,56.9,0.6,7.9,0.11,2.2,25.862642338801614,True,True
94,Э76ХФ,20.0,42.05,18.716666699999998,42.05,0.459085,0.12420199999999999,0.218667,0.192129,0.0404023,1602.0,1590.0,13.9134364,12951.0240427,112.3,1.0,19.502,0.19,0.05,0.49200000000000005,0.059000000000000004,0.02,0.051071,0.204,0.33899999999999997,0.221,4040.0,0.001,0.418,0.316,0.12,0.604,0.006999999999999999,0.011000000000000001,0.073,0.006999999999999999,0.021,0.40399999999999997,0.001,0.002,0.003,0.762,0.0002,0.418,0.11800000000000001,0.7959999999999999,0.006,0.013000000000000001,0.073,0.006999999999999999,0.013000000000000001,0.5670000000000001,0.003,0.038,3.793101274407654,49.5,0.8,16.5,0.39,1.8,26.23078917826137,3.764789431261046,50.9,0.3,13.2,0.13,2.0,25.595246294761097,True,True
95,Э76ХФ,23.0,41.6666667,20.1833333,41.6666667,0.45414499999999997,0.088234,0.182319,0.153034,0.040831,1582.0,1596.0,15.848709699999999,13029.5623452,115.8,1.0,21.836,0.116,0.05,0.494,0.059000000000000004,0.02,0.051613,0.159,0.28300000000000003,0.157,4383.0,0.002,0.42200000000000004,0.344,0.1,0.644,0.006,0.01,0.069,0.006999999999999999,0.021,0.455,0.002,0.002,0.003,0.7559999999999999,0.0003,0.41600000000000004,0.10099999999999999,0.794,0.005,0.013000000000000001,0.07,0.008,0.017,0.56,0.003,0.037000000000000005,4.534847337297394,49.9,0.7,12.8,0.2,2.3,21.741471007682012,4.8176852970351005,49.0,1.0,12.6,0.2,2.2,22.78609435074255,True,True
96,Э76ХФ,20.0,41.7,19.75,41.7,0.358415,0.06687799999999999,0.07337250000000001,0.087436,0.0395439,1570.0,1595.0,11.5726619,13278.9873418,110.8,1.0,16.086,0.105,0.05,0.384,0.059000000000000004,0.02,0.049986,0.10400000000000001,0.113,0.11900000000000001,4371.0,0.002,0.478,0.359,0.102,0.718,0.006,0.01,0.066,0.009000000000000001,0.018000000000000002,0.49,0.002,0.002,0.004,0.7559999999999999,0.0004,0.415,0.10099999999999999,0.782,0.005,0.012,0.066,0.009000000000000001,0.016,0.568,0.003,0.037000000000000005,4.32731847374345,58.8,0.6,10.4,0.13,2.7,21.81085333934662,4.82860424981003,61.1,0.4,7.2,0.09,2.6,23.534009154853777,True,True
97,Э76ХФ,18.0,45.55,22.6833333,45.55,0.41383500000000006,0.08148999999999999,0.142817,0.14155,0.041403800000000004,1567.0,1586.0,10.8065862,13191.1829537,115.6,1.0,16.408,0.09400000000000001,0.05,0.447,0.059000000000000004,0.02,0.052337,0.158,0.222,0.145,4987.0,0.002,0.451,0.353,0.10300000000000001,0.6709999999999999,0.006999999999999999,0.011000000000000001,0.073,0.008,0.02,0.457,0.002,0.002,0.004,0.767,0.0004,0.419,0.10300000000000001,0.7929999999999999,0.006,0.013000000000000001,0.073,0.009000000000000001,0.015,0.565,0.003,0.038,4.6529066786935775,55.4,0.4,10.6,0.15,2.6,21.439953541492578,5.052481053840485,51.8,0.9,9.2,0.18,2.4,21.87028369645072,True,True
98,Э76ХФ,16.0,42.05,19.5166667,42.05,0.37961500000000004,0.12307799999999999,0.1957475,0.173625,0.0418611,1577.0,1595.0,11.7831153,13695.9863365,114.9,1.0,16.516000000000002,0.23699999999999996,0.507,0.42,0.049,0.02,0.052915,0.185,0.305,0.21899999999999997,4455.0,0.001,0.483,0.315,0.102,0.621,0.006,0.013000000000000001,0.066,0.008,0.024,0.434,0.001,0.002,0.003,0.77,0.0005,0.41700000000000004,0.10099999999999999,0.792,0.005,0.015,0.066,0.009000000000000001,0.019,0.5589999999999999,0.003,0.038,4.381763903748382,54.4,0.7,13.2,0.19,2.1,25.796238002070808,4.132102230537659,58.6,0.6,8.5,0.14,2.2,26.80224607521196,True,True
99,Э76ХФ,14.0,44.7,18.35,44.7,0.515295,0.15055,0.2530415,0.2321,0.0417179,1580.0,1581.0,17.0238772,13873.569482299998,113.9,1.0,25.271,0.191,0.05,0.555,0.026000000000000002,0.02,0.052734,0.251,0.39399999999999996,0.26899999999999996,4243.0,0.001,0.371,0.292,0.09699999999999999,0.5660000000000001,0.006,0.013000000000000001,0.07,0.006,0.026000000000000002,0.36700000000000005,0.001,0.001,0.003,0.762,0.0003,0.418,0.098,0.792,0.005,0.015,0.07,0.008,0.019,0.57,0.003,0.036000000000000004,3.8914687618050277,50.3,0.8,17.2,0.62,1.9,26.171496646295086,3.9681396751408267,53.3,0.4,14.9,0.14,2.0,26.628465199524996,True,True
100,Э76ХФ,8.0,41.3333333,17.4833333,41.3333333,0.464805,0.144522,0.2192265,0.1827,0.041289099999999995,1599.0,1590.0,19.2883065,13971.020019100002,116.0,1.0,26.575,0.20199999999999999,0.05,0.495,0.034,0.02,0.052191999999999995,0.18899999999999997,0.342,0.259,4071.0,0.001,0.413,0.299,0.10400000000000001,0.588,0.006999999999999999,0.013000000000000001,0.073,0.006999999999999999,0.023,0.405,0.001,0.002,0.003,0.75,0.0003,0.419,0.10300000000000001,0.782,0.006,0.013999999999999999,0.07200000000000001,0.008,0.016,0.56,0.003,0.038,3.9729954780515353,49.8,0.5,16.6,0.27,1.9,25.60746275919385,4.167986398017564,55.3,0.4,10.8,0.13,2.2,25.32842779403286,True,True
101,Э76ХФ,7.0,40.1833333,14.733333300000002,40.1833333,0.4381,0.103788,0.1343175,0.15535,0.038256,1601.0,1591.0,10.7169749,13398.1900452,111.4,1.0,14.328,0.04700000000000001,0.05,0.473,0.024,0.02,0.048358,0.183,0.20800000000000002,0.18600000000000003,3290.0,0.002,0.414,0.327,0.102,0.6609999999999999,0.01,0.012,0.08,0.009000000000000001,0.025,0.414,0.001,0.004,0.003,0.7709999999999999,0.0002,0.41600000000000004,0.1,0.787,0.009000000000000001,0.013999999999999999,0.079,0.01,0.019,0.5579999999999999,0.003,0.039,3.9829932545528806,50.2,0.6,17.2,0.39,1.9,25.245221811796238,4.221155464510876,52.9,0.4,14.4,0.14,2.0,26.3400012209476,True,True
102,Э76ХФ,8.0,40.2,14.366666699999998,40.2,0.496515,0.128898,0.1946745,0.125525,0.040945800000000004,1606.0,1590.0,10.4514925,13510.440835299998,115.3,1.0,14.005,0.058,0.05,0.5379999999999999,0.027000000000000003,0.02,0.051758000000000005,0.111,0.305,0.231,3235.0,0.002,0.387,0.309,0.098,0.61,0.008,0.011000000000000001,0.07,0.008,0.023,0.428,0.001,0.002,0.003,0.753,0.0002,0.415,0.096,0.784,0.006999999999999999,0.013000000000000001,0.07,0.008,0.017,0.551,0.003,0.039,4.593607032939281,51.3,1.1,16.6,0.3,2.0,24.862071467391303,4.778022712602609,47.6,0.5,9.4,0.11,2.1,23.12781274231255,True,True
103,Э76ХФ,6.0,40.7,21.1333333,40.7,0.441975,0.060822,0.156255,0.113015,0.040945800000000004,1565.0,1598.0,17.952631600000004,13835.0157729,115.1,1.0,24.256,0.058,0.05,0.485,0.049,0.02,0.051758000000000005,0.10800000000000001,0.243,0.109,4873.0,0.002,0.428,0.368,0.11,0.652,0.011000000000000001,0.011000000000000001,0.086,0.011000000000000001,0.025,0.46799999999999997,0.002,0.002,0.003,0.755,0.0003,0.419,0.11,0.794,0.011000000000000001,0.012,0.086,0.012,0.019,0.563,0.003,0.039,4.58962734564461,58.3,0.7,14.5,0.16,2.5,23.400214530517253,5.159274610380101,57.4,0.6,11.4,0.1,2.5,23.07558001551605,True,True
104,Э76ХФ,7.0,42.05,14.5333333,42.05,0.5044850000000001,0.109926,0.18173399999999998,0.14723699999999998,0.0404023,1613.0,1597.0,19.239239,13859.174311899998,113.9,1.0,26.967,0.175,0.05,0.552,0.055999999999999994,0.02,0.051071,0.15,0.281,0.19699999999999998,3357.0,0.001,0.395,0.322,0.10099999999999999,0.62,0.006999999999999999,0.012,0.067,0.008,0.024,0.426,0.001,0.003,0.003,0.763,0.0002,0.41600000000000004,0.10099999999999999,0.79,0.006,0.012,0.067,0.01,0.015,0.555,0.003,0.038,4.052960322314696,52.9,0.3,14.4,0.43,2.0,25.952746865013214,4.346957135214553,50.0,0.5,17.1,0.13,2.0,25.187402425719903,True,True
105,Э76ХФ,10.0,42.216666700000005,20.0166667,42.216666700000005,0.51542,0.151776,0.22398049999999997,0.162169,0.040974199999999995,1587.0,1595.0,11.1148046,14145.2123231,115.5,1.0,15.640999999999998,0.18899999999999995,0.05,0.556,0.0,0.02,0.05179400000000001,0.155,0.34700000000000003,0.272,4719.0,0.001,0.391,0.29,0.10800000000000001,0.591,0.01,0.011000000000000001,0.09,0.006999999999999999,0.023,0.41200000000000003,0.001,0.002,0.003,0.757,0.0002,0.41700000000000004,0.107,0.789,0.01,0.012,0.08900000000000001,0.008,0.019,0.5589999999999999,0.003,0.038,4.356143611649706,46.2,1.0,21.4,0.43,1.8,25.2021309235869,4.38212437385524,52.0,0.5,14.4,0.15,2.0,26.089555923493513,True,True
106,Э76ХФ,11.0,42.1666667,21.216666699999998,42.1666667,0.44914,0.11494800000000001,0.17364649999999998,0.09784,0.03994419999999999,1566.0,1597.0,9.2685714,13758.051846,111.6,1.0,12.975999999999999,0.04700000000000001,0.05,0.483,0.035,0.02,0.050492,0.077,0.27,0.20600000000000002,4865.0,0.002,0.41200000000000003,0.315,0.106,0.625,0.006999999999999999,0.01,0.076,0.006,0.023,0.47700000000000004,0.001,0.002,0.003,0.759,0.0001,0.415,0.106,0.787,0.006,0.012,0.076,0.006999999999999999,0.018000000000000002,0.5579999999999999,0.003,0.038,4.254697282536118,56.0,0.6,14.3,0.3,2.1,25.58948990896654,4.401214219898306,57.3,0.7,8.3,0.15,2.2,26.062915935680415,True,True
107,Э76ХФ,8.0,48.8666667,29.383333299999997,48.8666667,0.44928999999999997,0.103788,0.186498,0.133053,0.0407741,1534.0,1599.0,8.3480218,14018.1508792,115.3,1.0,13.597999999999999,0.058,0.611,0.42,0.046,0.02,0.051541,0.126,0.289,0.18600000000000003,6865.0,0.002,0.405,0.32799999999999996,0.086,0.637,0.01,0.01,0.075,0.006999999999999999,0.022000000000000002,0.46799999999999997,0.002,0.002,0.003,0.76,0.0004,0.42100000000000004,0.087,0.799,0.011000000000000001,0.011000000000000001,0.078,0.008,0.018000000000000002,0.562,0.003,0.04,4.7925717887133645,59.0,0.7,9.3,0.16,2.8,21.436629703562865,5.294498019681968,55.9,0.8,10.7,0.12,2.5,22.734968819630474,True,True
112,другие,13.0,47.8666667,24.55,47.8666667,0.3769,0.11773800000000001,0.2101285,0.082106,0.0415344,1567.0,1611.0,10.5349535,14553.9714868,114.5,1.0,16.375999999999998,0.058,0.05,0.414,0.027999999999999997,0.02,0.052191999999999995,0.037000000000000005,0.32799999999999996,0.20600000000000002,5955.0,0.002,0.424,0.1,0.105,0.6509999999999999,0.006,0.009000000000000001,0.07,0.006999999999999999,0.021,0.237,0.001,0.002,0.003,0.7120000000000001,0.0003,0.102,0.105,0.833,0.005,0.012,0.07,0.008,0.015,0.313,0.002,0.038,4.281085769238585,57.8,0.6,14.0,0.13,2.8,21.25310972890857,4.390078805752409,56.7,0.6,11.9,0.22,2.2,25.861731110884264,True,True
113,другие,13.0,41.8333333,20.1833333,41.8333333,0.43212,0.11773800000000001,0.21467399999999998,0.086595,0.0405842,1577.0,1605.0,11.8292125,13404.1288192,114.6,1.0,15.815,0.128,0.05,0.48200000000000004,0.034,0.02,0.050998,0.042,0.335,0.20600000000000002,4509.0,0.002,0.381,0.11900000000000001,0.109,0.664,0.009000000000000001,0.009000000000000001,0.081,0.009000000000000001,0.021,0.24100000000000002,0.001,0.002,0.003,0.723,0.0006,0.12,0.107,0.843,0.008,0.012,0.08,0.01,0.017,0.326,0.003,0.038,4.8031256907305195,58.5,0.4,10.6,0.16,2.5,23.13530165025583,5.864594768073746,52.2,0.5,4.2,0.07,2.8,17.886303882520245,True,True
117,другие,19.0,43.7,20.1666667,43.7,0.40695,0.11773800000000001,0.213047,0.099064,0.0414477,1585.0,1604.0,11.784212599999998,13305.1239669,115.0,1.0,17.002,0.128,0.05,0.451,0.028999999999999998,0.02,0.052083000000000004,0.062,0.332,0.20600000000000002,4472.0,0.002,0.39899999999999997,0.111,0.11199999999999999,0.654,0.008,0.008,0.07200000000000001,0.008,0.019,0.226,0.001,0.002,0.003,0.718,0.0002,0.113,0.11199999999999999,0.8370000000000001,0.006999999999999999,0.011000000000000001,0.071,0.009000000000000001,0.013999999999999999,0.317,0.002,0.035,4.271347999110237,54.4,0.5,13.9,0.25,2.4,22.900998161057277,4.46405514442712,57.2,0.6,8.0,0.18,2.2,26.00401614411374,True,True
118,другие,15.0,47.5166667,17.8833333,47.5166667,0.44476000000000004,0.11773800000000001,0.15314049999999998,0.089576,0.042369199999999996,1606.0,1601.0,11.0092573,13386.7660764,114.9,1.0,17.046,0.128,0.05,0.5,0.055,0.02,0.053241,0.073,0.23800000000000002,0.20600000000000002,3990.0,0.002,0.4,0.107,0.11599999999999999,0.7040000000000001,0.008,0.009000000000000001,0.07,0.011000000000000001,0.02,0.24100000000000002,0.001,0.002,0.003,0.723,0.0002,0.10800000000000001,0.114,0.8370000000000001,0.006999999999999999,0.011000000000000001,0.069,0.012,0.013000000000000001,0.325,0.002,0.036000000000000004,4.583703871419431,55.6,0.4,11.2,0.12,2.6,21.56279703273652,5.18941836044933,57.0,1.0,7.0,0.11,2.4,23.737778789452946,True,True
