t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,Ar (интенс.),эл. энергия (интенс.),расход газ Ar,сыпуч известь РП,сыпуч  шпат плав.,ферспл CaC2,ферспл  Mn5Si65Al0.5,ферспл SiMn18,химсталь первый Al_1,химсталь первый Mn_1,химсталь первый Si_1,химсталь первый V_1,химсталь последний Al,химсталь последний Ca,химсталь последний Mn,химсталь последний Si,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
12.0,45.3666667,26.35,45.3666667,2.0,0.362735,0.125775,0.002702,0.12834500000000001,0.0390334,1653.0,12.8288024,14217.836812099998,19.4,0.079,0.081,0.02,0.193,0.0,0.002,0.784,0.461,0.003,0.004,0.0004,0.7859999999999999,0.556,0.036000000000000004,5.0,58.2,0.5,10.9,0.12,2.7,21.7,4.8,58.9,0.9,7.5,0.08,2.7,21.9
8.0,65.0333333,24.85,65.0333333,2.7236067999999998,0.40655,0.17105399999999998,0.072261,0.14301,0.041257800000000004,1569.0,7.095932,13057.5452716,15.069,0.0,0.037000000000000005,0.02,0.18899999999999997,0.105,0.002,0.72,0.449,0.002,0.004,0.0004,0.7829999999999999,0.5589999999999999,0.037000000000000005,6.4,57.7,0.4,11.1,0.09,2.7,21.1,6.9,52.3,0.4,8.5,0.1,2.5,21.1
28.0,45.55,20.716666699999998,45.55,2.6547103,0.35711,0.149812,0.070011,0.09879,0.0396495,1554.0,9.2802579,13348.672566399999,13.593,0.063,0.038,0.02,0.12300000000000001,0.10300000000000001,0.002,0.7190000000000001,0.496,0.002,0.003,0.0003,0.784,0.5720000000000001,0.037000000000000005,5.9,58.5,0.3,12.2,0.16,2.6,22.4,5.4,60.9,0.5,11.2,0.17,2.8,21.6
31.0,54.35,22.3166667,54.35,2.9896507999999997,0.419245,0.147017,0.103903,0.142285,0.0401091,1572.0,8.9494756,12741.150112000001,16.119,0.040999999999999995,0.040999999999999995,0.02,0.17600000000000002,0.153,0.002,0.6940000000000001,0.43700000000000006,0.002,0.003,0.0004,0.789,0.563,0.036000000000000004,5.0,58.7,0.7,9.6,0.19,2.6,22.6,5.8,59.4,0.4,5.2,0.08,2.7,21.9
38.0,46.6833333,22.5166667,46.6833333,2.4818182,0.37783,0.11515399999999999,0.04548,0.092685,0.038644599999999994,1547.0,9.1993538,12835.8253146,14.235999999999999,0.0,0.037000000000000005,0.02,0.12300000000000001,0.066,0.002,0.7490000000000001,0.48700000000000004,0.003,0.005,0.0006,0.785,0.58,0.036000000000000004,4.9,60.7,0.8,7.3,0.11,2.8,22.1,5.4,61.8,0.8,4.3,0.08,2.8,22.4
43.0,45.533333299999995,18.65,45.533333299999995,2.9896507999999997,0.434435,0.11571300000000001,0.094042,0.1438,0.040252800000000005,1561.0,8.4726722,12546.916890100001,12.436,0.0,0.039,0.02,0.182,0.138,0.002,0.705,0.43799999999999994,0.002,0.003,0.0002,0.789,0.573,0.038,4.6,56.6,0.6,8.5,0.14,2.4,23.4,5.7,58.3,1.0,5.8,0.12,2.3,25.6
40.0,49.3333333,15.866666699999998,49.3333333,2.9896507999999997,0.425555,0.113477,0.079442,0.139505,0.040683,1570.0,9.9845783,12444.9579832,16.114,0.0,0.048,0.02,0.18100000000000002,0.11599999999999999,0.002,0.716,0.44799999999999995,0.002,0.003,0.0003,0.785,0.569,0.037000000000000005,5.2,53.0,0.4,9.6,0.17,2.4,21.7,5.5,50.1,0.8,8.3,0.11,2.3,21.3
29.0,45.6833333,15.833333300000001,45.6833333,2.9896507999999997,0.39316999999999996,0.12521600000000002,0.100761,0.11835,0.039506599999999996,1587.0,9.5665552,12209.6842105,14.302,0.0,0.037000000000000005,0.02,0.141,0.149,0.002,0.6970000000000001,0.462,0.002,0.003,0.0004,0.7859999999999999,0.562,0.036000000000000004,5.5,58.1,0.9,10.9,0.13,2.6,22.2,5.7,54.9,0.5,4.8,0.07,2.7,20.6
31.0,46.1833333,19.65,46.1833333,2.422634,0.39804,0.13416,0.137165,0.155855,0.0393915,1548.0,9.2751551,12656.4885496,14.124,0.0,0.038,0.02,0.184,0.203,0.002,0.6709999999999999,0.44299999999999995,0.002,0.003,0.0003,0.784,0.57,0.036000000000000004,5.3,58.7,1.0,8.7,0.15,2.7,21.8,5.0,51.5,0.9,5.5,0.1,2.5,20.7
29.0,49.85,15.766666699999998,49.85,2.9896507999999997,0.448525,0.106769,0.149818,0.16165,0.040224199999999995,1579.0,14.5282258,12527.695560299999,24.02,0.092,0.038,0.02,0.188,0.222,0.002,0.664,0.433,0.002,0.003,0.0005,0.7909999999999999,0.569,0.036000000000000004,4.9,55.7,0.5,14.2,0.15,2.2,25.1,5.7,50.4,0.5,8.6,0.08,2.3,21.5
35.0,47.5166667,22.0166667,47.5166667,2.9896507999999997,0.332435,0.066521,0.020949000000000002,0.08657999999999999,0.037754699999999995,1558.0,9.8057021,12119.000757,15.286,0.0,0.076,0.02,0.12300000000000001,0.028999999999999998,0.002,0.767,0.483,0.003,0.004,0.0003,0.7829999999999999,0.573,0.036000000000000004,4.2,66.9,1.1,9.5,0.14,3.5,19.4,5.0,50.0,0.9,5.6,0.08,2.6,19.2
41.0,51.216666700000005,16.3333333,51.216666700000005,2.5310857999999996,0.42313,0.09502999999999999,0.091227,0.10407000000000001,0.0397646,1542.0,8.6331513,13253.877551000001,13.614,0.0,0.039,0.02,0.12300000000000001,0.135,0.002,0.706,0.466,0.002,0.003,0.0002,0.7829999999999999,0.562,0.036000000000000004,5.6,59.1,0.5,11.2,0.14,2.7,22.3,6.6,56.2,0.6,8.0,0.09,2.6,22.0
40.0,45.0166667,16.783333300000002,45.0166667,2.9896507999999997,0.44033500000000003,0.089999,0.069712,0.115915,0.0401091,1569.0,7.0066754,12473.0883813,10.437999999999999,0.0,0.048,0.02,0.149,0.102,0.002,0.727,0.46,0.002,0.003,0.0002,0.784,0.5660000000000001,0.036000000000000004,5.1,61.7,1.2,6.3,0.1,2.8,21.7,7.2,58.8,0.6,6.1,0.09,2.6,22.5
42.0,47.2,22.8,47.2,2.8876404,0.35029,0.09726599999999999,0.081665,0.08846,0.041286300000000005,1532.0,7.0526015,13476.3157895,10.957,0.052000000000000005,0.086,0.02,0.103,0.121,0.002,0.721,0.49700000000000005,0.004,0.004,0.0002,0.789,0.57,0.036000000000000004,4.9,51.7,0.6,7.5,0.2,2.4,21.3,5.6,62.1,0.6,3.9,0.1,2.8,22.4
48.0,42.533333299999995,13.15,42.533333299999995,2.0,0.465545,0.102297,0.091507,0.11737,0.0409132,1588.0,9.763926699999999,12223.574144499999,13.759,0.0,0.071,0.0,0.14300000000000002,0.135,0.002,0.7070000000000001,0.452,0.002,0.004,0.0004,0.785,0.5589999999999999,0.037000000000000005,5.2,57.0,0.9,8.7,0.18,2.6,22.0,5.0,57.9,0.6,11.0,0.08,2.3,25.1
54.0,48.033333299999995,17.3666667,48.033333299999995,2.5501894,0.42232,0.108446,0.077248,0.097945,0.038558800000000004,1557.0,7.218112400000001,12676.0076775,11.557,0.0,0.066,0.0,0.11900000000000001,0.114,0.002,0.7170000000000001,0.475,0.003,0.003,0.0003,0.778,0.5529999999999999,0.036000000000000004,4.4,61.2,0.1,8.6,0.13,2.6,23.8,4.5,57.9,0.4,7.7,0.09,2.3,25.0
56.0,43.8666667,16.3,43.8666667,2.3891679,0.38795,0.06819800000000001,0.027238,0.10336,0.039994,1567.0,8.4139058,12309.202454,12.302999999999999,0.0,0.09300000000000001,0.0,0.146,0.038,0.002,0.7609999999999999,0.469,0.003,0.004,0.0003,0.784,0.5579999999999999,0.034,5.4,58.1,0.5,11.5,0.17,2.5,23.2,5.7,59.4,0.6,6.9,0.07,2.4,25.0
63.0,41.1833333,14.7166667,41.1833333,2.0,0.395945,0.084409,0.022121000000000002,0.079595,0.0396495,1570.0,6.907891499999999,12173.952434899998,9.482999999999999,0.0,0.073,0.0,0.11199999999999999,0.031,0.003,0.765,0.483,0.002,0.004,0.0003,0.787,0.564,0.036000000000000004,6.2,56.7,0.6,9.6,0.16,2.6,21.7,6.5,59.5,0.3,7.2,0.08,2.6,22.6
48.0,42.533333299999995,14.483333300000002,42.533333299999995,2.9896507999999997,0.4280372,0.094471,0.09237999999999999,0.12750999999999998,0.0388462,1566.0,7.3100312999999995,12792.635212899999,10.364,0.0,0.061,0.0,0.158,0.136,0.002,0.715,0.47200000000000003,0.002,0.004,0.0003,0.792,0.574,0.036000000000000004,5.1,59.8,0.4,8.7,0.12,2.8,21.5,6.2,59.5,0.4,6.0,0.09,2.4,25.2
46.0,47.8333333,22.95,47.8333333,2.9563447999999997,0.48841,0.108446,0.039891,0.109155,0.04056869999999999,1540.0,9.404541400000001,14243.137254899999,14.610999999999999,0.107,0.069,0.0,0.15,0.057,0.002,0.743,0.455,0.002,0.003,0.0002,0.777,0.542,0.036000000000000004,5.3,57.2,0.7,9.9,0.12,2.6,21.8,4.8,56.1,0.6,9.8,0.16,2.1,26.1
11.0,45.2,20.2333333,45.2,2.6223802000000003,0.41765,0.119626,0.054407000000000004,0.10945999999999999,0.037926999999999995,1600.0,10.4369469,13276.1120264,15.725,0.073,0.038,0.02,0.145,0.079,0.002,0.737,0.466,0.002,0.004,0.0004,0.7879999999999999,0.563,0.037000000000000005,4.9,49.9,1.0,13.0,0.14,2.3,21.7,4.9,55.4,1.0,12.3,0.14,2.3,25.3
6.0,47.033333299999995,20.95,47.033333299999995,3.0907662,0.346075,0.09335299999999999,0.06897,0.08067,0.0384635,1562.0,8.8950213,13423.389021500001,13.895999999999999,0.0,0.038,0.02,0.096,0.102,0.002,0.733,0.504,0.004,0.004,0.0007,0.79,0.5660000000000001,0.037000000000000005,5.1,54.8,0.8,15.4,0.13,2.8,19.9,4.7,55.8,0.6,11.7,0.17,2.3,26.0
10.0,54.1833333,17.2,54.1833333,2.9896507999999997,0.45629,0.10285599999999999,0.104832,0.155085,0.040183699999999996,1602.0,9.2957955,12265.1162791,16.766,0.0,0.038,0.02,0.195,0.154,0.002,0.701,0.43799999999999994,0.002,0.003,0.0003,0.79,0.5710000000000001,0.037000000000000005,4.6,54.8,0.3,13.2,0.12,2.2,25.0,5.0,52.6,0.3,12.9,0.12,2.3,23.7
19.0,48.033333299999995,20.5666667,48.033333299999995,2.9896507999999997,0.5197350000000001,0.121303,0.18168399999999998,0.171565,0.0403272,1590.0,8.4027159,12821.7179903,13.407,0.08,0.037000000000000005,0.02,0.191,0.27,0.001,0.628,0.41,0.002,0.003,0.0003,0.792,0.5710000000000001,0.037000000000000005,5.1,54.1,0.7,11.0,0.38,2.3,23.3,5.1,54.4,0.7,12.9,0.13,2.3,25.0
16.0,51.05,19.5166667,51.05,2.9896507999999997,0.501945,0.111241,0.125726,0.14507,0.0402122,1572.0,10.6181102,12902.818104200001,17.98,0.047,0.039,0.02,0.172,0.18600000000000003,0.002,0.677,0.435,0.002,0.003,0.0004,0.779,0.562,0.036000000000000004,6.2,50.2,0.4,12.8,0.15,2.3,21.5,5.6,53.2,0.8,9.9,0.13,2.6,20.5
