;t вып-обр;t обработка;ПСН гр.;чист расход C;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;расход газ Ar;сыпуч известь РП;сыпуч кокс пыль УСТК;сыпуч  шпат плав.;ферспл CaC2;ферспл  FeV-80;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
10;23,0;42,0333333;2,0;0,30571;0,085275;0,0376213;1529,0;1595,0;13,0232355;12482,5865003;112,5;1,0;18,247;0,054000000000000006;0,05;0,06;0,02;0,047056;0,14400000000000002;6113,0;0,002;0,521;0,348;0,092;0,7340000000000001;0,009000000000000001;0,071;0,012;0,017;0,484;0,002;0,003;0,003;0,773;0,0002;0,418;0,784;0,008;0,011;0,013;0,013;0,5660000000000001;0,003;0,036000000000000004;3,9;55,6;0,5;7,3;0,16;3,2;17,6;4,5;59,1;0,2;4,5;0,1;2,2;26,9
11;21,0;43,8666667;2,0;0,15538;0,060145;0,0367538;1530,0;1595,0;11,611422;12421,5165262;109,7;1,0;16,942999999999998;0,042;0,05;0,085;0,02;0,045971;0,136;5324,0;0,004;0,639;0,35;0,101;0,73;0,009000000000000001;0,069;0,013;0,017;0,508;0,003;0,004;0,004;0,7559999999999999;0,0003;0,422;0,79;0,006999999999999999;0,01;0,014;0,012;0,564;0,003;0,037000000000000005;4,3;64,6;0,3;8,7;0,13;2,9;22,3;4,9;61,3;0,3;5,7;0,13;2,3;26,3
12;20,0;49,7333333;2,8791045;0,34951;0,10516;0,0385175;1544,0;1591,0;10,4422922;12879,532163700002;114,6;1,0;17,311;0,06;0,05;0,07200000000000001;0,02;0,048177;0,15;5506,0;0,003;0,469;0,34600000000000003;0,105;0,679;0,012;0,071;0,012;0,018000000000000002;0,469;0,003;0,003;0,003;0,7809999999999999;0,0004;0,419;0,787;0,006999999999999999;0,012;0,014;0,015;0,563;0,003;0,036000000000000004;4,9;63,0;0,7;10,4;0,16;2,8;22,8;4,6;56,6;0,2;7,8;0,12;2,1;27,0
13;35,0;47,8666667;3,4925752999999995;0,350455;0,076329;0,0370848;1559,0;1584,0;8,957415300000003;13322,6710635;109,2;1,0;14,093;0,052000000000000005;0,05;0,081;0,02;0,046513;0,277;4489,0;0,002;0,46;0,327;0,094;0,748;0,01;0,068;0,011;0,023;0,481;0,001;0,002;0,003;0,772;0,0002;0,467;0,7859999999999999;0,006999999999999999;0,012;0,011;0,017;0,561;0,002;0,036000000000000004;3,6;58,1;0,4;8,6;0,13;2,6;22,1;3,8;62,3;0,5;4,7;0,08;2,7;23,3
14;39,0;50,3666667;2,6373503;0,498855;0,072604;0,0894414;1582,0;1587,0;7,3436948000000015;13531,310140600002;109,10000009999999;1,0;11,55;0,052000000000000005;0,113;0,1400001;0,0200001;0,098235;0,087;5078,0;0,002;0,438;0,244;0,104;0,672;0,01;0,076;0,009000000000000001;0,024;0,471;0,002;0,002;0,003;0,8440000000000001;0,0002;0,289;0,792;0,006;0,014;0,011;0,018000000000000002;0,552;0,003;0,084;4,0;62,1;0,3;7,0;0,17;2,6;23,8;3,6;62,1;0,3;7,1;0,17;2,7;23,0
15;6,0;48,55;2,0;0,41937;0,141782;0,0923408;1616,0;1583,0;11,2975472;12582,4104235;112,5;1,0;6,653;0,104;0,05;0,07400000000000001;0,02;0,102214;0,17800000000000002;3219,0;0,001;0,5329999999999999;0,201;0,096;0,568;0,01;0,08199999999999999;0,006999999999999999;0,022;0,411;0,001;0,001;0,003;0,845;0,0002;0,28800000000000003;0,795;0,013;0,017;0,008;0,017;0,547;0,002;0,085;3,1;56,1;0,4;15,6;0,1;2,1;26,6;3,6;50,3;0,3;10,0;0,11;2,2;23,4
16;9,0;42,3333333;2,0719901000000003;0,472325;0,075152;0,0898846;1590,0;1578,0;17,670803399999997;12802,4767802;109,8;1,0;15,03;0,04;0,05;0,08199999999999999;0,02;0,098597;0,083;3446,0;0,001;0,4270000000000001;0,248;0,097;0,59;0,01;0,084;0,008;0,022;0,455;0,001;0,002;0,003;0,871;0,0005;0,28800000000000003;0,78;0,061;0,014;0,009000000000000001;0,017;0,545;0,003;0,084;3,4;54,8;0,9;11,9;0,14;2,4;22,5;4,1;58,8;0,3;7,4;0,06;2,2;26,5
17;6,0;43,6833333;1,5234677;0,506075;0,141784;0,0920558;1609,0;1582,0;12,2155662;12510,088148899997;113,5;1,0;9,199;0,04;0,05;0,047;0,02;0,101888;0,157;3548,0;0,001;0,477;0,219;0,092;0,611;0,009000000000000001;0,073;0,011;0,019;0,413;0,001;0,002;0,002;0,851;0,0002;0,293;0,7879999999999999;0,02;0,013;0,012;0,016;0,53;0,002;0,08199999999999999;3,7;48,3;0,4;11,4;0,12;2,0;24,5;3,8;57,5;0,4;7,2;0,07;2,2;26,6
18;6,0;40,7;2,0;0,5165649999999999;0,08153200000000001;0,0915456;1563,0;1576,0;11,7141536;13938,7414708;112,0;1,0;7,035;0,052000000000000005;0,05;0,069;0,02;0,101165;0,165;5107,0;0,001;0,424;0,208;0,09;0,613;0,01;0,075;0,006999999999999999;0,02;0,452;0,001;0,002;0,003;0,84;0,0004;0,29100000000000004;0,7929999999999999;0,018000000000000002;0,015;0,008;0,017;0,563;0,003;0,084;3,1;57,8;0,6;12,1;0,28;2,2;26,3;4,1;57,3;0,5;4,6;0,07;2,6;21,7
19;33,0;43,1833333;2,0;0,46048;0,124157;0,0387897;1577,0;1578,0;8,9180239;13082,3300971;114,1;1,0;12,837;0,084;0,05;0,08199999999999999;0,02;0,049045;0,166;3743,0;0,002;0,411;0,341;0,109;0,7140000000000001;0,009000000000000001;0,066;0,014;0,023;0,453;0,002;0,003;0,003;0,768;0,0002;0,418;0,7809999999999999;0,005;0,011;0,015;0,017;0,562;0,003;0,036000000000000004;5,0;57,1;0,8;8,9;0,18;2,6;22,0;5,6;56,2;1,0;6,7;0,08;2,5;22,4
20;26,0;47,3833333;1,7142857;0,434215;0,14551;0,0389328;1583,0;1586,0;17,675457;13472,4580454;112,7;1,0;27,667;0,04;0,05;0,073;0,02;0,049226;0,28300000000000003;3791,0;0,001;0,434;0,282;0,086;0,618;0,01;0,059;0,006;0,018000000000000002;0,441;0,001;0,002;0,003;0,759;0,0002;0,419;0,7879999999999999;0,006999999999999999;0,012;0,008;0,015;0,57;0,003;0,036000000000000004;5,4;58,1;0,4;10,1;0,15;2,6;22,3;4,2;49,8;0,7;11,3;0,13;2,4;20,4
21;23,0;45,5166667;2,7917151;0,172035;0,069016;0,0378404;1571,0;1632,0;9,1796038;13558,1843191;112,6;1,0;13,902;0,049;0,05;0,111;0,02;0,047598;0,239;5476,0;0,002;0,6579999999999999;0,303;0,08800000000000001;0,701;0,006999999999999999;0,061;0,012;0,018000000000000002;0,509;0,003;0,003;0,004;0,763;0,0006;0,42;0,797;0,005;0,01;0,012;0,011;0,5710000000000001;0,003;0,037000000000000005;4,6;62,8;0,4;7,0;0,13;3,0;21,2;4,7;55,2;0,5;5,9;0,09;2,7;20,4
22;29,0;50,3666667;2,0;0,37717;0,106195;0,0388755;1556,0;1610,0;12,02045;14109,3315685;114,4;1,0;20,181;0,157;0,05;0,08800000000000001;0,02;0,0489;0,226;5922,0;0,002;0,4970000000000001;0,312;0,104;0,72;0,009000000000000001;0,07;0,012;0,018000000000000002;0,473;0,002;0,003;0,004;0,7759999999999999;0,0004;0,419;0,784;0,005;0,01;0,013;0,012;0,547;0,003;0,036000000000000004;5,2;59,9;0,7;12,0;0,13;2,9;20,9;5,3;56,8;0,5;7,6;0,1;2,6;21,6
23;45,0;47,8833333;4,0;0,406075;0,119133;0,0396236;1557,0;1593,0;13,1482074;14158,720487399998;113,4;1,0;20,986;0,053;0,05;0,044;0,02;0,049841;0,191;5164,0;0,002;0,474;0,326;0,102;0,7;0,009000000000000001;0,079;0,011;0,018000000000000002;0,466;0,002;0,002;0,004;0,7709999999999999;0,0005;0,418;0,7959999999999999;0,008;0,012;0,012;0,015;0,579;0,003;0,037000000000000005;5,2;58,5;0,4;6,1;0,1;2,9;20,4;6,7;58,8;0,5;5,9;0,07;2,7;22,2
24;50,0;43,3333333;2,8015267;0,4622350000000001;0,121888;0,0396808;1581,0;1580,0;11,4251538;13500,9174312;115,3;1,0;16,503;0,053;0,05;0,076;0,02;0,049913;0,191;3679,0;0,002;0,431;0,328;0,104;0,7190000000000001;0,009000000000000001;0,07;0,013;0,02;0,462;0,002;0,003;0,003;0,7559999999999999;0,0002;0,416;0,794;0,006;0,011;0,014;0,018000000000000002;0,5770000000000001;0,003;0,036000000000000004;4,8;62,0;0,7;5,5;0,11;2,8;21,8;6,4;59,3;0,5;4,6;0,08;2,7;21,9
25;48,0;51,1833333;4,538247599999999;0,45114;0,129122;0,0406014;1576,0;1593,0;8,8755174;14232,7022375;112,8;1,0;14,652;0,095;0,05;0,05;0,02;0,051071;0,21600000000000005;4594,0;0,002;0,415;0,312;0,102;0,665;0,009000000000000001;0,064;0,008;0,025;0,45;0,001;0,002;0,003;0,7609999999999999;0,0002;0,419;0,7979999999999999;0,006;0,013;0,009000000000000001;0,017;0,561;0,003;0,038;4,3;51,7;0,5;9,3;0,1;2,5;20,6;5,4;58,9;0,6;7,1;0,11;2,6;23,0
26;55,0;46,6666667;3,9321018;0,405225;0,108005;0,038761;1547,0;1594,0;13,2236842;13931,914893599998;114,4;1,0;20,1;0,063;0,05;0,096;0,02;0,048756;0,199;4911,0;0,002;0,478;0,32299999999999995;0,098;0,726;0,009000000000000001;0,064;0,012;0,02;0,472;0,002;0,003;0,004;0,763;0,0011;0,417;0,7979999999999999;0,006;0,011;0,013;0,016;0,57;0,004;0,035;4,8;61,5;0,6;6,9;0,09;2,8;21,7;4,6;48,1;1,0;2,2;0,09;2,5;19,5
27;60,0;42,3333333;3,3574066;0,32264;0,108941;0,039163300000000005;1551,0;1582,0;11,8227678;13646,923708000002;114,5;1,0;16,588;0,041;0,05;0,117;0,02;0,049262;0,194;4621,0;0,002;0,5329999999999999;0,326;0,091;0,753;0,008;0,062;0,012;0,018000000000000002;0,471;0,002;0,003;0,004;0,762;0,00041;0,417;0,797;0,006;0,011;0,013;0,011;0,561;0,003;0,036000000000000004;4,8;59,9;0,5;5,9;0,12;3,0;19,9;4,4;57,4;0,4;10,1;0,13;2,2;25,6
28;22,0;46,8666667;3,2699229;0,47798;0,166141;0,040285;1626,0;1590,0;10,0411891;13456,019070299995;113,7;1,0;15,575;0,106;0,05;0,07400000000000001;0,02;0,050673;0,256;3136,0;0,002;0,404;0,29600000000000004;0,097;0,657;0,01;0,067;0,009000000000000001;0,025;0,426;0,001;0,002;0,003;0,753;0,0003;0,415;0,795;0,005;0,012;0,01;0,015;0,5670000000000001;0,002;0,036000000000000004;3,7;55,5;0,6;11,9;0,14;2,1;26,0;4,1;55,7;0,5;12,1;0,14;2,2;25,9
29;28,0;48,85;3,4858447;0,474795;0,16328399999999998;0,0404576;1616,0;1593,0;11,2513138;13501,9522777;113,3;1,0;18,199;0,052000000000000005;0,05;0,055;0,02;0,05089;0,237;3458,0;0,002;0,416;0,306;0,102;0,677;0,011;0,07;0,011;0,021;0,4320000000000001;0,001;0,002;0,003;0,752;0,0005;0,42;0,802;0,005;0,012;0,012;0,013;0,5770000000000001;0,003;0,037000000000000005;4,2;49,0;0,5;13,1;0,13;2,1;23,6;4,9;50,1;0,4;12,6;0,11;2,1;24,2
30;32,0;43,2;3,7495652;0,45188;0,14341700000000002;0,040572;1591,0;1596,0;12,2793839;13426,164079799995;115,2;1,0;17,273;0,063;0,05;0,039;0,02;0,051034;0,24;3364,0;0,002;0,433;0,306;0,095;0,713;0,012;0,069;0,011;0,019;0,449;0,001;0,002;0,004;0,7509999999999999;0,0004;0,416;0,789;0,01;0,012;0,011;0,015;0,578;0,003;0,037000000000000005;5,2;58,4;0,3;9,5;0,12;2,6;22,5;4,5;53,0;0,6;10,7;0,13;2,1;24,7
31;41,0;45,6666667;2,5424318;0,4115657;0,096742;0,0416938;1560,0;1597,0;8,1985401;13382,7522936;114,5;1,0;12,48;0,055;0,05;0,102;0,02;0,052445000000000006;0,17600000000000002;4052,0;0,002;0,461;0,335;0,104;0,7559999999999999;0,01;0,078;0,014;0,02;0,473;0,002;0,003;0,004;0,7390000000000001;0,0003;0,416;0,7879999999999999;0,008;0,01;0,014;0,012;0,564;0,003;0,036000000000000004;5,3;58,5;0,4;10,0;0,16;2,6;22,6;4,6;58,4;0,3;7,9;0,11;2,2;26,4
32;42,0;48,8333333;2,0;0,495525;0,15428599999999998;0,0403137;1582,0;1592,0;11,2042321;12768,69207;115,9;1,0;18,238;0,35100000000000003;0,05;0,069;0,02;0,050709;0,177;3444,0;0,001;0,401;0,334;0,112;0,691;0,009000000000000001;0,079;0,016;0,022;0,399;0,001;0,002;0,003;0,78;0,0002;0,415;0,785;0,008;0,011;0,016;0,011;0,574;0,002;0,036000000000000004;4,3;51,9;0,7;14,0;0,28;2,1;24,5;4,6;51,6;0,8;15,2;0,13;2,1;25,2
33;54,0;43,21666670000001;2,9430139;0,54064;0,110365;0,092216;1557,0;1626,0;12,6224784;13543,8148444;112,7;1,0;7,3;0,096;0,05;0,035;0,02;0,101273;0,17600000000000002;4714,0;0,002;0,43;0,201;0,108;0,72;0,008;0,067;0,01;0,017;0,449;0,002;0,002;0,004;0,853;0,0005;0,28800000000000003;0,812;0,004;0,016;0,012;0,01;0,555;0,003;0,084;6,2;57,9;0,3;8,9;0,16;2,6;22,6;6,7;58,6;0,6;5,1;0,08;2,3;25,2
34;55,0;54,85;2,8397371;0,452715;0,10985;0,0912356;1498,0;1606,0;10,1454545;13204,3054844;113,6;1,0;9,92;0,058;0,21600000000000005;0,086;0,02;0,101563;0,115;7156,0;0,002;0,516;0,232;0,08800000000000001;0,785;0,008;0,055;0,014;0,019;0,465;0,002;0,003;0,004;0,89;0,0003;0,289;0,807;0,004;0,017;0,016;0,013;0,528;0,003;0,083;5,7;57,6;0,6;15,6;0,22;2,8;20,9;4,4;56,2;0,4;12,6;0,14;2,2;26,0
35;68,0;45,7;3,465625;0,541215;0,10554;0,0927359;1546,0;1583,0;9,1057541;13878,4651527;113,4;1,0;8,352;0,123;0,05;0,063;0,02;0,102105;0,163;4923,0;0,002;0,4370000000000001;0,211;0,103;0,711;0,011;0,07200000000000001;0,01;0,019;0,453;0,001;0,002;0,004;0,871;0,0003;0,289;0,8009999999999999;0,006;0,016;0,011;0,014;0,545;0,003;0,083;4,9;49,5;0,5;7,9;0,14;2,5;19,5;6,3;56,0;0,4;8,9;0,09;2,3;24,3
36;71,0;44,1833333;3,6481013;0,569495;0,1208;0,0926682;1529,0;1580,0;13,1172867;14031,3253012;114,8;1,0;9,991;0,113;0,05;0,048;0,02;0,102828;0,127;4529,0;0,002;0,423;0,229;0,112;0,7;0,012;0,073;0,013;0,021;0,424;0,001;0,002;0,004;0,875;0,0002;0,29;0,809;0,006;0,017;0,014;0,013;0,532;0,003;0,083;4,4;54,8;0,4;12,2;0,18;2,2;24,7;4,4;54,9;0,8;8,2;0,1;2,1;26,2
37;71,0;43,3333333;3,8072187;0,566025;0,10232;0,08983189999999999;1543,0;1575,0;12,5112329;13980,3680982;112,1;1,0;10,148;0,069;0,05;0,106;0,02;0,100007;0,103;3798,0;0,002;0,369;0,238;0,086;0,747;0,01;0,062;0,012;0,024;0,434;0,001;0,002;0,003;0,85;0,0002;0,29;0,792;0,003;0,016;0,014;0,017;0,5379999999999999;0,003;0,08199999999999999;4,3;45,0;0,7;8,1;0,21;2,2;20,9;5,4;59,1;0,7;4,3;0,09;2,4;25,1
38;41,0;46,2;2,0;0,58045;0,13193;0,0945891;1616,0;1579,0;13,7266749;11270,5302096;115,4;1,0;12,293;0,052000000000000005;0,05;0,071;0,02;0,104601;0,17800000000000002;2539,0;0,002;0,416;0,204;0,076;0,687;0,011;0,063;0,008;0,02;0,424;0,001;0,002;0,003;0,8370000000000001;0,0003;0,289;0,8;0,004;0,017;0,009000000000000001;0,014;0,537;0,003;0,085;4,8;54,5;0,8;13,3;0,43;2,3;23,8;5,1;52,1;0,4;13,9;0,16;2,1;25,3
39;45,0;47,2;3,2905115;0,502885;0,094405;0,0912067;1543,0;1575,0;19,2990742;13844,1805226;112,1;1,0;28,375;0,079;0,6940000000000001;0,075;0,02;0,100767;0,165;4857,0;0,002;0,398;0,21;0,119;0,6940000000000001;0,01;0,07;0,006999999999999999;0,022;0,456;0,002;0,003;0,003;0,878;0,0004;0,292;0,792;0,009000000000000001;0,015;0,009000000000000001;0,014;0,53;0,003;0,086;4,9;53,2;0,4;10,9;0,25;2,3;22,9;6,1;51,7;0,4;6,0;0,1;2,5;20,5
40;50,0;44,71666670000001;2,0;0,5032800000000001;0,115935;0,0922198;1564,0;1571,0;23,8639728;14014,4014401;114,3;1,0;31,169;0,052000000000000005;0,05;0,07400000000000001;0,02;0,10225;0,162;4325,0;0,003;0,455;0,212;0,081;0,745;0,009000000000000001;0,057;0,01;0,019;0,439;0,002;0,002;0,004;0,8370000000000001;0,0003;0,293;0,802;0,004;0,013;0,012;0,014;0,542;0,003;0,084;5,5;59,5;0,4;8,9;0,17;2,7;22,4;6,1;60,4;0,9;6,1;0,08;2,7;22,1
41;56,0;42,85;3,0403507000000003;0,529205;0,10009;0,0913553;1569,0;1576,0;12,7537975;13698,494242700002;114,4;1,0;11,195;0,041;0,05;0,076;0,02;0,100984;0,181;4296,0;0,002;0,434;0,202;0,084;0,7120000000000001;0,011;0,054000000000000006;0,01;0,018000000000000002;0,445;0,002;0,003;0,003;0,848;0,0002;0,29100000000000004;0,792;0,004;0,015;0,012;0,018000000000000002;0,5489999999999999;0,003;0,084;5,7;55,1;0,8;8,6;0,35;2,5;21,7;6,4;58,5;0,6;6,4;0,08;2,6;22,9
42;60,0;45,8666667;2,0;0,54214;0,11931;0,0923682;1565,0;1575,0;9,4765343;14006,6433566;114,6;1,0;13,125;0,048;0,748;0,078;0,02;0,102394;0,17600000000000002;4451,0;0,001;0,378;0,209;0,102;0,68;0,01;0,067;0,009000000000000001;0,023;0,435;0,001;0,002;0,003;0,8420000000000001;0,0005;0,294;0,789;0,005;0,015;0,011;0,019;0,5429999999999999;0,003;0,084;4,8;51,8;0,6;8,2;0,16;2,5;20,9;5,9;57,4;0,7;6,9;0,1;2,5;22,7
43;29,0;44,21666670000001;2,7457995;0,451585;0,055315;0,0910511;1569,0;1574,0;11,9966394;13962,2504537;113,0;1,0;15,469;0,052000000000000005;0,05;0,093;0,02;0,100731;0,099;4274,0;0,002;0,48;0,241;0,109;0,77;0,009000000000000001;0,07200000000000001;0,014;0,022;0,478;0,002;0,003;0,004;0,853;0,0002;0,29100000000000004;0,795;0,006;0,012;0,016;0,017;0,539;0,003;0,084;5,2;59,0;0,5;7,4;0,27;2,8;21,2;6,0;60,7;1,0;5,5;0,09;2,7;22,2
44;23,0;45,0166667;2,0;0,601695;0,140585;0,0934207;1573,0;1575,0;12,059405900000002;13712,393887900002;114,9;1,0;8,12;0,119;0,05;0,092;0,02;0,102937;0,163;4487,0;0,001;0,359;0,214;0,093;0,6659999999999999;0,008;0,071;0,01;0,022;0,41;0,001;0,002;0,003;0,856;0,0002;0,294;0,79;0,005;0,015;0,011;0,013;0,541;0,003;0,084;4,0;48,1;1,0;10,1;0,69;2,1;22,5;5,1;52,9;0,5;12,4;0,12;2,1;25,6
45;24,0;46,2333333;3,1139522;0,575235;0,07195499999999999;0,0918987;1571,0;1570,0;20,5866179;13620,3045685;113,2;1,0;21,879;0,049;0,05;0,077;0,02;0,101888;0,153;4472,0;0,002;0,406;0,215;0,111;0,695;0,008;0,071;0,008;0,02;0,461;0,002;0,002;0,003;0,83;0,0002;0,29;0,795;0,006;0,014;0,009000000000000001;0,017;0,5429999999999999;0,003;0,085;4,5;57,3;0,9;7,3;0,18;2,7;21,5;5,9;59,5;0,9;4,9;0,09;2,7;21,8
